u,v,PA
280,131,14
184,152,0
259,59,32
198,188,28
92,264,28
32,206,30
122,370,30
1,106,88
214,312,30
242,91,186
186,78,9
143,287,10
123,195,8
46,224,30
311,13,24
316,266,12
164,200,0
30,152,36
106,264,44
199,193,80
35,33,32
78,131,21
13,76,8
45,390,0
71,147,60
50,92,63
307,35,144
204,372,54
115,33,28
238,5,9
91,60,558
30,25,156
86,350,18
269,61,135
308,371,20
143,234,60
227,1,56
58,76,21
313,93,21
230,302,42
404,394,3
50,341,18
191,232,2
45,428,6
34,111,154
269,106,165
36,131,21
394,369,9
271,308,10
72,173,42
8,328,9
192,116,368
153,303,21
192,383,272
308,246,20
389,159,1
117,414,17
349,92,35
157,115,56
396,22,4
116,311,69
402,173,6
45,102,3
92,13,56
305,192,32
117,147,85
341,51,26
243,434,8
46,189,10
61,271,18
307,302,54
30,161,12
206,402,12
285,48,9
313,83,36
266,163,3
1384652,117,136
116,275,138
184,349,0
1384652,159,8
163,307,18
78,277,15
204,203,45
242,384,3
292,188,35
296,243,4
48,402,18
85,60,27
2,1384652,24
422,5,3
152,398,3
389,230,14
233,123,12
34,44,14
123,49,14
34,371,56
410,157,8
377,313,12
86,192,48
96,414,4
163,372,6
117,95,68
203,60,45
269,193,150
59,389,16
369,350,18
85,205,9
9,1384652,56
25,219,26
370,25,26
124,280,2
308,358,25
431,26,12
410,39,14
309844,146270,1
26,161,12
371,342,8
372,203,30
234,17,180
275,205,18
383,266,51
49,42,14
303,341,14
370,115,14
246,377,16
39,357,14
340,404,8
370,146270,2
384,67,6
188,5,21
40,194,84
318,205,6
152,370,6
234,136,252
216,395,12
271,233,12
390,60,0
95,146270,4
45,51,39
143,37,10
305,115,14
357,101,7
280,159,2
63,48,27
194,232,12
414,224,3
1,25,104
259,46,20
389,102,1
313,8,9
2,67,18
389,390,0
45,231,15
350,296,12
117,198,68
266,45,9
370,116,46
243,309844,2
26,340,96
318,332,12
83,2089740,180
146270,2,3
230,402,28
2089740,308,75
238,100,3
147,96,20
63,60,27
153,271,6
1,328,24
311,33,12
266,61,27
292,25,65
318,122,30
77,8,15
164,44,0
60,369,27
396,195,16
61,308,45
402,117,34
349,5,15
42,332,12
219,227,14
13,184,0
172,328,18
231,414,5
242,55,27
328,33,12
184,124,0
199,231,40
111,377,44
216,232,8
207,307,36
111,192,176
206,25,78
61,232,18
91,372,372
159,231,5
389,42,2
200,87,133
9,369,21
95,357,4
32,384,5
36,233,18
192,111,176
157,152,24
259,307,36
34,246,56
398,230,14
36,402,6
243,172,12
78,242,9
102,414,1
313,434,12
146270,61,9
384,277,5
184,39,0
100,275,6
417,78,6
33,96,16
146270,124,1
422,232,2
234,36,36
26,72,168
93,369,21
67,2089740,90
44,123,2
207,91,124
173,264,12
93,195,28
170,302,6
117,143,85
45,137,30
370,102,2
49,152,21
92,224,21
1384652,200,152
399,364,3
137,431,10
95,389,4
46,48,90
78,395,9
1384652,32,40
305,216,8
116,349,115
149,225,45
271,95,8
124,371,4
95,302,12
199,232,16
161,121,2
302,189,3
39,199,112
147,216,20
214,233,36
216,193,40
358,303,35
59,417,32
5,34,42
350,81,24
396,188,28
117,259,34
377,40,56
383,195,68
117,402,34
55,83,108
77,33,20
83,60,108
192,58,336
342,116,46
164,85,0
170,342,4
205,1,24
91,342,124
194,280,12
396,205,12
67,116,138
2,350,18
280,8,6
198,309844,4
36,318,6
216,214,24
280,32,10
83,143,60
25,2,39
17,216,60
232,186,6
124,316,4
384,116,23
311,83,36
380,63,12
396,186,12
340,358,40
404,153,3
390,25,0
87,296,14
191,100,1
305,100,2
30,26,144
384,46,10
305,227,14
188,60,63
271,91,124
123,39,28
225,100,5
48,194,54
285,46,10
13,51,104
231,71,60
304,72,56
8,46,30
95,37,8
51,115,91
399,341,2
349,87,35
350,35,48
101,224,21
342,92,14
205,199,24
380,2089740,60
25,13,104
227,230,98
340,231,40
233,267,54
164,267,0
428,234,24
318,216,8
173,234,36
186,191,3
136,26,252
152,380,12
63,264,12
191,85,3
1,173,24
34,214,84
371,124,4
370,13,16
259,371,8
35,63,24
101,37,14
186,205,9
292,59,80
340,34,112
145,316,12
389,33,4
316,106,44
232,34,28
149,117,153
243,96,8
341,35,16
372,380,24
50,309844,9
71,192,192
61,390,0
277,350,30
271,60,18
292,143,25
102,257,3
137,77,50
1384652,311,24
399,2,3
72,163,14
267,341,18
72,42,28
304,200,76
76,184,0
9,60,63
77,83,60
230,55,126
316,242,12
50,161,9
341,206,12
380,349,20
63,389,3
51,137,130
305,198,8
85,287,6
269,234,180
32,153,15
106,85,33
389,309844,1
199,349,40
191,414,1
72,1,112
92,40,98
302,13,24
92,106,77
86,277,15
157,231,40
372,2,18
92,434,28
