u,v,PA
318,1994,1
626,1726,1
745,653,40
60,1000,0
137,522,99
889,212,1
1573,1164871,6
1078,1658,32
987,1602,7
1122,637,9
123,1414,85
2099426,916,1
658,637,0
708,1797,120
432,1703,378
1799,186,5
380,230,54
1341,1615,32
784,229,0
1553,1897,1
230,2016,6
149,527,20
1168,888,0
1944,92,110
186,64,2
1813,1929,7
2007,803,15
1866,1953,1
1630,1050,11
364,1710,6
322,58,70
1497,33,6
1384652,2011,22
1897,1368,30
714,1,40
1471,1940,5
1677,91,30
1412,292,21
2010,48281,0
916,58,7
1688440,184,72
741,175,7
905,916,42
2018,1490,78
1030,580,112
1841,1116,48
615,1432,60
432,1384652,198
194,1951,162
1810,1223,15
1982,999,3
1786,483,10
396,364,8
1690,1477,2
1954,1870,48
91,1677,30
966,1192,2
1,1958,50
164,1154,24
437,1069,12
9,1950,1
14446,1654,12
1006,914,98
1346,219,1
1293,1266,13
430,1670,0
482,2018,13
1658,483,2
35,952,8
527,1238,1
1725,722,5
1835,1929,0
2010,91,15
109,1659,180
1752,1812,18
446497,1517,9
1875,1726,9
1739,175,70
755,9,2
1880,296,12
1835,993,0
527,1494,1
312,578,4
186,912,3
2006,727,2
459,672,12
318,1323,12
741,302,2
1975282,868,18
383,33,36
1392,198,1
115,1810,21
1344,275,22
1875,1464,90
2,1950,2
1801,916,4
1483,1638,6
35,373,12
212,1841,6
672,404,36
1569,580,24
1494,619,6
1192,572,12
1046,1366,0
481,590,3
1666,1142,18
1612,993,12
311,1069,12
1769,716,35
1854,394,0
1110,1737192,9
1254,1554,160
429,2056,20
1841,361,36
1925,200,2
41,1013,32
886,311,4
1793,41,8
1865,1677,2
1848,1996,50
1463,1412,203
1486,536,2
22,423,12
1793,1976,6
611,2018,117
1192,1384,2
527,1192,1
1467,891,35
922,432,18
2089740,178,1
1611,1891,5
1799,2016,5
785,311,2
179,1929,3
369,518,18
1247,1744,143
1546,1762,10
1992,751,10
1403,1807,0
1954,920,27
785,854,1
1776,51,48
1797,1694,60
1807,1026,36
825,392,32
1238,1192,1
1464,541,60
202,178,6
1389,993,4
1554,920,180
1633,270,9
1821,1117,66
396,1870,128
1793,1951,18
1494,1363,6
1737,312,0
748,1368,420
1384,741,2
1477,1638,4
1421,611,27
1982,224,3
13,1618,3
1464,1389,20
1407,954,20
1204,1602,1
1812,536,4
1942,905,42
1914,1849,9
204,805,32
543,1541,8
2018,834,143
163,242,3
1950,1738,1
26,1925,7
29,1536,10
1982,1744,11
27687,1862,35
60,270,0
423,1929,2
1433,763,6
1448,1341,44
1466,1667,1
1438,162,42
1297,1821,9
1338,423,2
172,1810,21
572,1247,156
738,1946,1
1486,292,3
109,1314,4
204,86,24
341,1658,2
1944,233,11
653,157,8
834,75,33
204,479,92
1084,1461,4
727,785,2
1975282,1322,18
727,137,18
1975282,46,18
1220,744,36
178,1865,1
1950,1797,15
1644,219,4
1389,825,8
1630,1782,99
1627,1111,12
1010,234,11
1606,2057,3
163,1421,9
9,1667,1
1596,1199387,35
1747,1486,1
588,1975,6
580,1338,8
1462,86,6
636,1467,42
9,837,1
1078,1569,48
580,672,48
322,259,30
1414,350,85
1812,1580,16
1703,1463,609
527,381,12
699,205,6
1365,41,12
1233,698,24
2024,1616,12
1950,1450,14
517,1782,18
940,1738,1
304,1227,12
1953,1471,1
26,1841,42
91,1511,90
1043,1164871,54
1223,1821,15
1297,1835,0
565,1880,4
1545,489,40
803,708,40
1858,1854,3
1409,1311,66
1976,736,9
1491,4,9
372,1953,20
2029,136,3
1797,1546,30
245,1478,5
1233,736,24
1147,1976,3
1518,1037,7
3582,398,0
383,763,12
1247,657,0
796,296,0
1818,680,16
1790,1935,2
276,1416,2
291,722,10
697,30,0
1709,406,10
1725,745,10
1569,136,3
49,61,81
1193,1677,4
1094,580,16
1351,481,18
1894,748,42
122,738,14
1491,1752,81
1006,40,98
1865,1908,5
1337,1110,9
1061,1615,24
162,203,12
738,479,23
1309,1483,3
958,1368,210
517,437,4
1851,1541,4
868,1006,14
1853,999,27
578,1886,32
680,722,20
9,92,10
736,1486,3
1549,571,14
271,26,14
1223,1670,0
832,1238,4
1310,698,9
224,999,9
1615,40,112
1100,1738,2
484,2018,26
1790,1466,2
1968,1142,4
581,1061,6
95,1556,15
479,877,138
2007,966,6
392,1063,120
573,1638,8
157,1219,38
1373,2029,15
990,224,33
803,698,15
792,1665,6
1,391,20
1147,276,2
940,1111,4
1061,1951,27
863,1776,12
230,109,24
1477,483,2
1069,429,24
1658,825,8
990,361,66
340,791,9
1521,456,3
369,1208,18
322,2029,30
748,13,14
1199,1228,48
708,590,8
751,1065,2
123,302,10
116,200,36
533,1881,42
394,392,0
1407,429,20
1549,1441,21
1877,162,0
1680,117,40
699,164,12
267,1392,9
131,398,0
83,952,14
2031,1078,16
1323,572,144
238,1486,3
1560,1812,14
1266,1813,91
1658,1649,6
430,619,60
1848,578,40
1914,122,42
486,404,54
157,1697,4
142,1816,0
2099426,658,0
175,1854,7
1975,55,8
1193,40,28
318,2051,1
39,543,8
571,1690,2
1450,1659,630
810,755,6
1314,637,3
429,590,4
1853,48281,0
1912,1793,12
304,1596,20
1014,311,2
838,1546,14
958,1940,35
96,912,3
636,1109,36
61,194,162
1710,1894,18
1996,1592,5
175,834,77
811,481,6
1470,86,42
4,1449,5
428190,1486,15
1534,1122,21
40,1014,14
233,276,2
1367,271,16
13,536,2
1812,954,8
383,1592,6
1111,636,24
716,785,5
1677,25,22
1790,123,10
1344,940,22
1694,205,4
1690,1100,2
1793,1596,10
86,1199387,42
1194,698,6
1147,41,4
234,1490,66
164,1954,6
1061,1960,9
186,1392,1
86,1733,6
2041,291,4
1366,2016,7
2041,2099426,2
1821,238,9
1976,581,6
1219,1683,133
751,277,10
318,25,11
1820,1013,24
2016,1403,0
432,96,18
1168,1694,12
1075,1688440,36
1606,568,2
1340,1813,7
708,811,16
267,493,153
1858,157,6
200,1000,16
1060,394,0
311,1958,10
1602,1193,2
86,312,6
993,91,30
1192,1265,4
1464,1266,130
518,482,2
810,184,36
536,1948,26
1433,805,24
1870,578,64
751,740,8
2057,2029,9
1921,1199,18
666,2051,1
1554,1739,200
2029,954,12
1848,179,30
718,785,15
1392,1950,1
22,1344,132
653,2018,52
1208,1667,2
697,194,0
91,685,15
1534,1597,7
619,1881,36
4,803,5
361,1624,12
886,1441,6
1666,83,63
27687,1508,15
784,1881,36
1534,1585,21
1849,136,3
698,1870,48
322,1373,50
1075,257,42
338,484,22
1453,459,2
1886,868,16
1835,534,0
5,2057,78
475,1695,0
1370,61,162
1013,1935,8
1208,1175,10
86,1908,30
1373,188,20
541,1849,18
1373,245,5
547,954,12
1894,1536,30
716,475,0
381,1467,84
872,1942,11
1491,1545,90
1858,1030,42
922,1293,1
225,1416,5
1351,1958,30
1891,527,1
1695,35,16
1994,1084,4
446,1248,4
1538,543,10
1463,1043,783
274,868,6
1881,547,18
1389,317,8
1542,738,10
2010,1048,3
311,940,2
636,1046,0
872,1483,33
1340,274,3
50,541,0
96,1975282,9
1688440,75,18
834,1654,22
1618,536,6
507,1441,3
446,1517,4
2024,1762,20
296,1992,15
1370,1227,54
123,1436,55
2011,810,6
1726,914,14
1477,1461,2
1670,685,0
567,238,3
1553,291,2
1769,1497,7
1014,1929,1
519,1291,6
475,1920,0
1453,164,2
666,41,4
234,1877,0
175,1830,35
398,697,0
204,1529,8
12081,1407,20
1810,1367,24
1542,1297,30
396,2009,0
1996,842,15
1912,1412,42
960,572,132
92,31505,160
1094,271,4
188,1820,12
229,834,0
1124,1403,0
1747,987,7
1367,1293,8
29,1538,5
1389,2089740,2
1346,205,1
1466,1291,2
1635,854,7
1470,837,7
46,1228,32
825,922,4
1541,697,0
1384,2057,6
1769,611,63
27687,1627,15
1043,1373,135
394,1818,0
304,255,20
1314,791,9
1954,267,27
2057,1801,12
541,1752,54
1693,1881,84
770,1344,352
123,51,40
987,1627,21
1486,1212,13
2,1797,30
936,1769,28
1351,75,18
877,1541,24
794,475,0
547,886,6
1782,1793,18
122,736,42
1398,1353,12
61,1786,90
2041,1421,6
225,1448,55
123,1491,45
14446,1726,6
406,9,2
429,1470,28
179,317,12
1508,291,6
1970,722,10
1346,186,1
1416,1254,8
2099426,1220,9
238,2057,9
1470,1110,63
733,446497,63
1042,116,162
3180,619,60
1877,2016,0
1630,150,77
50,456,0
204,813,8
1384,838,14
718,86,90
1665,419,48
1602,1168,3
1370,1725,18
572,276,24
916,1341,4
987,657,0
1596,1818,20
1449,1912,30
2041,267,18
1110,1291,18
1314,1463,29
1483,1529,6
1030,541,84
1750,968,12
1478,763,10
137,3582,0
2099426,5,26
186,86,6
914,1403,0
842,636,18
349,1227,3
1219,987,133
912,755,6
988,1573,6
1311,1616,33
229,958,0
296,1343,3
588,39,12
988,423,4
588,1521,9
2051,1726,1
4,1466,1
811,1271,18
1450,2051,14
357,5,234
1414,361,102
1165587,1820,6
1776,1946,6
380,842,27
954,115,28
1384,4,2
373,1416,3
1389,1953,2
1208,1993,6
2056,1266,65
1271,1190,135
689,1065,1
1695,163,12
143,1310,15
1185,1124,44
784,1467,42
1293,257,7
475,479,0
318,1585,3
811,567,2
1192,381,12
1165587,1534,14
1194,164,4
475,26,0
2099426,372,20
1046,770,0
305,1635,21
340,163,3
1880,1935,4
1541,1942,4
33,486,54
1948,1880,52
1849,1174,3
14446,891,30
1606,1695,4
914,1816,154
1323,2007,36
115,1048,21
854,1693,14
2018,1951,117
1412,1921,42
1050,1247,13
573,26,28
1464,1025,30
588,1612,18
404,489,24
2047,475,0
1338,1100,2
1467,1665,42
872,17,242
1366,1480,7
1649,1373,15
1122,1477,6
162,1403,0
1409,1908,30
136,27687,5
1248,689,1
1478,1797,75
993,150,14
1953,1654,2
580,1747,8
131,1223,0
224,1556,45
1556,229,0
1130097,1061,18
1821,61,27
940,51,8
1398,1820,6
1581,270,9
893,1725,10
1517,626,1
1908,1781,5
811,49,18
1744,794,22
1720,1116,16
838,2047,14
1373,1858,15
626,751,2
204,1478,20
580,988,16
276,1220,18
2089740,1585,3
619,322,60
1737,1854,0
233,825,4
736,1168,9
271,958,14
1581,1063,135
430,71,70
615,40,140
1220,1373,45
314,1389,12
91,482,15
1529,2009,0
1223,1870,80
1254,162,24
1891,689,1
648,1271,54
200,1448,22
1353,2009,0
96,1612,6
51,1762,40
1703,1534,147
748,188,56
1726,680,4
100,396,32
1075,1894,18
811,889,2
1353,489,24
1695,100,16
727,51,16
1154,1881,72
1935,459,2
1994,484,2
1521,5,78
648,1854,6
1311,1175,55
1908,1694,20
834,1545,110
741,1449,5
1048,1110,27
1046,1511,0
164,122,28
525,150,7
432,1403,0
1960,372,60
1602,1124,2
1050,142,0
483,889,1
406,1920,0
137,186,9
1602,993,2
1747,916,1
96,377,3
568,1810,6
1644,863,8
1179,109,4
1762,1542,50
1122,1337,3
1897,567,1
17,305,66
1219,1801,76
567,784,6
163,912,9
1581,854,9
2011,1812,4
1346,175,7
1667,1517,1
1219,1886,152
1921,834,66
1635,2057,21
966,1897,2
1470,912,21
751,1695,8
1750,1463,116
2010,1344,22
653,1212,52
1223,1541,20
522,1116,88
484,1421,6
391,1309,2
1494,357,9
229,1409,0
1880,364,4
305,811,6
1538,653,20
1341,522,44
1654,150,14
1649,1433,9
340,958,7
1925,1165587,2
1958,60,0
2051,1467,7
868,854,2
1807,2018,117
479,571,46
257,25,77
1538,1820,15
810,157,6
2099426,1147,1
1697,1462,2
886,72,10
2010,1854,1
1266,175,91
233,1545,10
1266,916,13
116,1600,306
1908,83,35
1538,149,100
317,150,28
350,115,35
2047,1175,10
1147,968,3
204,1337,4
479,1412,161
456,698,3
75,317,12
751,1048,6
1122,27687,15
1881,304,24
2009,369,0
71,990,77
219,2009,0
1697,71,14
406,33,12
486,1611,45
1948,72,65
1585,1521,9
1247,1407,65
26,966,14
1940,792,5
64,1542,20
186,1340,1
2018,277,65
987,1533,35
1190,13,15
77,1667,13
383,1373,30
483,157,2
527,1116,8
1432,1450,84
116,1541,72
1946,689,1
298,811,2
940,157,2
534,1968,4
1615,1975282,72
214,1010,6
123,1554,100
1353,1542,60
1597,1389,2
55,1006,28
1179,672,6
1248,653,4
580,872,88
1793,484,4
364,940,1
179,1436,33
381,179,36
318,242,1
2057,430,30
791,1337,9
1483,1659,135
1174,123,5
245,404,6
1449,296,15
727,1865,2
428190,430,150
202,837,6
430,1,100
832,109,16
1951,198,9
1486,305,3
1853,1453,9
619,1529,12
131,1697,0
204,1630,44
658,1194,0
1084,381,48
1581,1265,36
486,238,27
1654,136,2
482,1175,5
1208,1013,16
1078,270,16
744,1894,12
1835,1323,0
1392,1412,7
1409,1164871,12
446497,1533,45
960,1192,11
999,314,18
543,611,18
238,716,15
1709,338,55
33,392,48
912,205,3
1649,1730,12
259,571,6
86,1786,60
1821,1037,21
341,1154,12
1453,645,2
699,580,48
745,517,20
1596,41,20
1875,727,18
740,1065,4
842,1353,18
116,960,198
214,993,12
1314,1249,6
31505,381,192
1968,738,2
1227,2019,9
1453,292,3
224,205,3
1891,229,0
541,1130097,36
1851,137,9
1178,25,33
1227,1384652,33
565,61,9
423,142,0
1384652,456,11
1432,86,36
1421,1866,3
805,1793,16
611,2057,27
1407,1248,5
1710,1046,0
481,1886,24
2056,1677,10
1323,770,192
1921,317,24
322,49,90
1556,1580,120
1477,1248,2
689,48281,0
364,527,1
1293,77,13
990,1862,77
242,1042,9
1370,430,180
1812,304,8
238,2019,9
2024,437,8
1208,1935,2
1951,1767,27
1322,1560,14
2057,2089740,3
611,1037,63
1970,150,14
1060,186,5
311,578,8
1870,1470,112
1048,1693,42
1818,1433,12
275,733,7
834,40,154
1835,1309,0
666,479,23
2029,1518,3
267,838,63
95,722,5
92,430,100
391,1533,10
1904,298,5
1886,1725,8
1124,1110,18
96,611,9
1801,200,8
1542,46,20
1228,872,176
1726,1467,7
200,1061,6
1013,361,48
1247,380,117
22,1463,174
736,960,33
1649,446497,27
1618,1688440,18
1450,1744,154
274,1797,45
1534,905,294
257,1950,7
428190,1737,0
1680,1644,20
1726,1164871,2
2019,868,6
398,571,4
666,834,11
645,1912,12
1585,49,27
242,214,6
35,1797,60
2041,1536,20
680,1124,8
658,1511,0
430,35,40
1363,423,12
17,785,22
1412,285,42
544,1265,4
2099426,149,20
1204,1511,6
1912,1975282,54
1521,429,12
91,1178,45
1849,1632,93
727,1043,54
493,999,51
1744,1228,176
1497,1730,4
219,364,1
1363,1725,6
1168,1958,15
30,350,0
1398,1309,2
1618,1043,81
1384652,708,88
204,834,44
738,429,4
1615,770,128
940,29,1
1891,1254,8
116,785,18
1518,486,9
1006,314,42
1769,277,35
1781,1782,9
1384,33,12
1767,1168,9
391,1914,6
1432,1338,6
175,1908,35
1311,1782,99
519,1212,39
1810,200,6
1094,1238,2
794,615,20
888,954,0
1975282,888,0
1739,968,30
1820,657,0
1738,1786,10
1958,350,25
1014,1483,3
1363,1797,90
877,872,66
1247,590,13
2041,1596,10
302,1185,44
377,188,12
1920,1517,0
657,1849,0
1797,1976,45
1801,1602,4
854,1063,15
581,117,16
1786,1725,10
1782,1666,81
184,741,12
1992,245,5
1597,936,4
527,50,0
590,302,2
1050,123,5
1542,22,60
1343,547,3
1993,58,21
1322,95,2
1694,396,32
1703,1178,63
648,391,12
1529,1730,8
1511,372,120
428190,1750,60
404,1818,24
567,71,7
1010,1875,9
1665,834,66
1414,1638,34
1744,225,55
1219,736,57
1511,791,54
1063,199,75
547,1638,6
1450,361,84
838,568,14
1630,733,77
814,1597,3
1407,1921,30
637,285,18
1948,2031,13
1908,342,30
276,304,8
1807,5,234
770,1461,16
794,572,24
573,1025,12
5,1309,26
954,738,4
259,1384652,33
3180,708,80
518,1818,8
1461,666,1
1293,751,2
267,534,18
493,340,17
150,1366,49
271,888,0
1720,905,84
1935,430,10
1190,1026,60
475,230,0
580,1461,8
459,1142,4
61,1606,9
1683,517,14
1612,571,12
184,1353,72
475,1982,0
912,1996,15
1709,1529,10
1996,1835,0
271,1812,4
1094,1436,22
493,2006,17
1266,718,195
1904,527,5
507,72,5
95,30,0
2007,204,12
1799,685,5
1199,25,33
1168,1190,45
1925,1894,3
214,1993,18
1776,868,12
1638,1483,6
1037,58,49
1683,1511,42
1271,267,81
1816,968,33
446,1346,4
1042,200,18
1665,1497,6
3582,86,0
1810,486,27
1480,1538,5
736,1025,9
1480,1477,2
1343,733,7
392,1111,32
1220,12081,36
131,35,0
952,1518,2
481,61,27
1801,1233,32
794,1178,6
1449,1975282,45
733,573,28
763,406,4
637,1667,3
952,96,2
1219,91,285
517,571,4
1398,1616,6
274,2051,3
1384652,184,132
893,1168,30
740,1147,4
834,179,33
1219,1710,114
1710,392,48
698,1538,15
2057,446,12
1491,275,9
1403,1409,0
999,868,6
813,1309,2
755,242,2
116,1752,162
573,137,36
1581,1733,9
1709,568,10
12081,219,4
952,2056,10
238,987,21
1219,1233,152
486,1697,18
1914,2016,3
1886,672,48
952,689,2
1534,277,35
486,172,63
2089740,796,0
1409,1881,36
1659,446497,405
1368,1467,210
1436,1433,33
1449,292,15
394,1545,0
920,1875,81
1438,1219,266
1592,518,2
483,1310,3
123,1946,5
115,785,7
891,2057,15
1762,292,15
718,1389,30
571,987,14
1670,1592,0
1227,936,12
1293,92,10
791,1466,9
922,1694,4
680,1635,28
966,1013,16
1649,1725,3
1060,588,15
1592,1449,5
242,837,1
1904,115,35
1560,1208,14
722,5,130
35,580,32
877,184,72
1875,175,63
905,1659,1890
1238,1781,1
637,1953,3
31505,1050,16
296,1807,27
172,163,21
1,1124,20
117,276,16
1370,1353,108
172,1762,35
534,1666,18
150,429,28
1192,792,1
803,1185,110
49,340,9
1297,1175,15
1944,3582,0
338,257,77
1693,1695,56
322,1545,100
940,72,5
314,1644,24
1471,285,6
1807,653,36
2051,1297,3
722,1010,5
727,1849,6
162,1075,18
277,245,5
275,1223,5
318,736,3
578,1367,32
1739,493,170
394,49,0
1104,1940,75
1680,1737,0
1968,803,10
380,2047,18
1392,1193,2
966,1737192,2
1511,1762,30
1618,572,36
83,1630,77
1470,275,7
999,242,3
1954,219,3
1343,486,9
863,1545,20
162,960,33
1665,1061,18
17,1752,198
741,33,6
322,1265,40
1769,648,42
277,188,20
1179,2051,1
1975282,432,162
912,1602,3
1389,1767,6
912,645,6
377,1810,9
736,1968,6
1416,1633,9
267,1546,18
1851,741,1
2024,1353,24
1030,916,14
1992,1174,5
1737,751,0
50,590,0
398,1392,2
369,188,36
1412,1199,21
1690,916,1
2007,658,0
482,1043,27
484,1615,16
1247,1881,78
423,1944,22
518,2099426,2
792,842,3
131,727,0
1929,1880,4
637,429,12
1030,571,28
1649,1407,15
522,1697,22
1373,543,10
1340,1124,2
1219,1130097,114
578,203,16
1192,394,0
2047,1368,60
115,1204,7
5,96,26
1116,267,72
373,1363,18
50,517,0
245,1367,8
394,834,0
1862,645,14
131,1026,0
1951,1677,18
2024,1624,8
1627,2047,6
372,446497,180
202,115,42
2024,1536,40
740,398,8
1467,233,7
1441,238,9
2047,1747,2
692,1010,1
1786,1130097,60
1658,1309,2
1461,534,2
1117,234,242
699,178,6
1793,1373,10
891,1351,30
423,556,6
1384652,1227,33
626,960,11
340,893,10
163,1165587,6
1000,868,16
406,763,4
519,811,6
792,1849,3
1953,1816,11
543,1925,2
484,229,0
547,1737192,3
1228,2031,16
1494,1633,9
1367,1463,232
1179,396,8
958,406,14
202,245,6
2009,1694,0
825,722,20
1624,813,4
493,1178,51
1954,922,3
1954,1363,18
637,2051,3
648,1612,36
341,1111,4
811,271,4
475,1929,0
357,1398,18
304,547,12
373,1050,3
1545,1353,60
512,1050,1
29,1000,8
291,657,0
481,916,3
1013,1925,8
406,482,2
1659,615,450
72,2029,15
357,14446,54
51,1862,56
2089740,1466,1
1738,199,5
718,304,60
2,60,0
1030,1233,112
1463,383,174
1477,1790,4
1436,479,253
1635,179,21
1580,1801,32
968,543,6
1010,1665,6
1891,1865,1
1109,527,6
1389,741,2
2024,381,48
307,1363,24
1363,744,24
1799,751,10
1951,137,81
432,1247,234
568,517,4
920,1238,9
573,1606,4
275,1877,0
1471,1690,1
5,392,208
1343,1438,14
1725,1585,3
380,1026,36
372,61,180
536,162,6
1738,636,6
920,1533,45
131,1060,0
689,29,1
489,95,4
317,699,24
1433,369,27
916,1925,1
936,1030,56
83,430,70
1154,543,24
437,341,2
1976,2006,3
199,277,25
1858,1597,3
419,1367,64
204,377,12
1069,581,12
1338,1573,3
122,149,280
481,1894,9
1314,1414,17
1677,1343,2
912,204,12
404,872,66
1293,792,1
1343,1801,4
578,48281,0
1665,188,24
1667,1412,7
2009,1517,0
1690,1384,2
1556,77,195
1449,1786,50
178,1710,6
137,338,99
1063,291,30
1542,1870,160
745,838,70
9,3582,0
41,1190,60
748,245,14
1542,580,80
71,1367,56
2057,437,6
666,1185,22
1677,1407,10
722,372,100
556,893,30
1886,296,24
75,1204,3
1782,91,135
1816,872,121
1782,1030,126
1373,940,5
1193,1536,20
1340,1421,3
1747,1569,3
825,755,8
803,1870,80
40,1392,14
1309,1940,5
1627,172,21
1449,1782,45
1037,1110,63
1920,1122,0
1667,30,0
1797,916,15
1929,1486,1
1490,1960,18
914,1407,70
1853,590,9
1865,1658,2
834,825,44
2011,1853,18
277,2019,15
1858,1799,15
322,2,20
968,271,6
55,1497,4
1752,1726,9
1228,966,32
1116,1403,0
2007,940,3
1534,689,7
1560,1948,91
71,834,77
27687,1164871,10
2019,645,6
1346,1193,2
920,275,9
178,219,1
1147,3582,0
1204,733,7
342,2007,18
748,1193,28
1996,1529,10
1461,1781,1
2041,342,12
2056,95,5
680,1996,20
314,2007,18
1848,745,100
744,1891,4
255,1518,5
1511,966,12
205,940,1
1521,1725,3
863,1037,14
349,1147,1
60,136,0
1534,525,7
517,672,12
233,1497,1
1228,186,16
1353,224,18
1606,1353,6
636,372,120
1094,1560,14
1248,1612,6
727,475,0
285,1266,78
364,1675,2
373,150,21
204,1340,4
