u,v,GD
1875,1464,-1
2,1950,-4
1801,916,-4
1483,1638,0
35,373,-4
212,1841,-4
672,404,-2
1569,580,-4
1494,619,0
1192,572,-3
1046,1366,0
481,590,-3
1666,1142,0
1612,993,0
311,1069,-4
1769,716,-3
1854,394,0
1110,1737192,0
1254,1554,-3
429,2056,-2
1841,361,-2
1925,200,-4
41,1013,-3
886,311,0
1793,41,-4
1865,1677,-2
1848,1996,-3
1463,1412,-3
1486,536,0
22,423,-4
1793,1976,-4
611,2018,-1
1192,1384,0
527,1192,0
1467,891,-3
922,432,-4
2089740,178,0
1611,1891,-4
1799,2016,0
785,311,-4
179,1929,-4
369,518,-4
1247,1744,-3
1546,1762,0
1992,751,-4
1403,1807,0
1954,920,-3
785,854,0
1776,51,-3
1797,1694,-2
1807,1026,-4
825,392,-4
1238,1192,-4
1464,541,-3
202,178,0
1389,993,0
1554,920,-3
1633,270,0
1821,1117,-4
396,1870,-3
1793,1951,-3
1494,1363,0
1737,312,0
748,1368,-1
1384,741,0
1477,1638,0
1421,611,-3
1982,224,-4
13,1618,0
1464,1389,-3
1407,954,-4
1204,1602,0
1812,536,-4
1942,905,-2
1914,1849,-4
204,805,-3
543,1541,-3
2018,834,-3
163,242,0
1950,1738,0
26,1925,-4
29,1536,-4
1982,1744,-4
27687,1862,-3
60,270,0
423,1929,-4
1433,763,-4
1448,1341,-2
1466,1667,0
1438,162,-3
1297,1821,-4
1338,423,-4
172,1810,-4
572,1247,-3
738,1946,0
1486,292,-4
109,1314,-4
204,86,-4
341,1658,0
1944,233,0
653,157,-4
834,75,-4
204,479,-3
1084,1461,-4
727,785,-4
1975282,1322,-4
727,137,-4
1975282,46,-3
1220,744,-3
178,1865,0
1950,1797,-3
1644,219,0
1389,825,-3
1630,1782,-2
1627,1111,-3
1010,234,-4
1606,2057,-4
163,1421,-4
9,1667,0
1596,1199387,0
1747,1486,0
588,1975,0
580,1338,-3
1462,86,0
636,1467,-4
9,837,-4
1078,1569,-2
580,672,-4
322,259,-4
1414,350,-3
1812,1580,-2
1703,1463,-2
527,381,-3
699,205,0
1365,41,-3
1233,698,-3
2024,1616,0
1950,1450,-4
517,1782,-3
940,1738,0
304,1227,-4
1953,1471,0
26,1841,-4
91,1511,-3
1043,1164871,-3
1223,1821,0
1297,1835,0
565,1880,0
1545,489,-2
803,708,-3
1858,1854,0
1409,1311,-2
1976,736,-3
1491,4,-4
372,1953,-4
2029,136,0
1797,1546,-3
245,1478,-4
1233,736,-3
1147,1976,-4
1518,1037,-4
3582,398,0
383,763,-2
1247,657,0
796,296,0
1818,680,-4
1790,1935,0
276,1416,-4
291,722,-4
697,30,0
1709,406,-1
1725,745,-3
1569,136,-4
49,61,-3
1193,1677,0
1094,580,-4
1351,481,-4
1894,748,-2
122,738,-3
1491,1752,-3
1006,40,-3
1865,1908,-4
1337,1110,0
1061,1615,-3
162,203,-3
738,479,-1
1309,1483,0
958,1368,-3
517,437,0
1851,1541,0
868,1006,0
1853,999,-3
578,1886,-4
680,722,-3
9,92,-3
736,1486,0
1549,571,-4
271,26,0
1223,1670,0
832,1238,-4
1310,698,0
224,999,-4
1615,40,-3
1100,1738,0
484,2018,-3
1790,1466,0
1968,1142,0
581,1061,-4
95,1556,-3
479,877,-2
2007,966,-4
392,1063,-2
573,1638,-4
157,1219,-3
1373,2029,-4
990,224,-3
803,698,-4
792,1665,0
1,391,-4
1147,276,-4
940,1111,0
1061,1951,-4
863,1776,0
230,109,-2
1477,483,-4
1069,429,-3
1658,825,-4
990,361,-2
340,791,-4
1521,456,0
369,1208,-3
322,2029,-3
748,13,0
1199,1228,-3
708,590,-4
751,1065,-4
123,302,-4
116,200,-3
533,1881,-3
394,392,0
1407,429,-4
1549,1441,-4
1877,162,0
1680,117,-2
699,164,-3
267,1392,0
131,398,0
83,952,-4
2031,1078,-4
1323,572,-3
238,1486,0
1560,1812,-4
1266,1813,-4
1658,1649,-3
430,619,-3
1848,578,-4
1914,122,-3
486,404,-3
157,1697,-4
142,1816,0
2099426,658,0
175,1854,0
1975,55,0
1193,40,-4
318,2051,0
39,543,0
571,1690,0
1450,1659,-3
810,755,-4
1314,637,0
429,590,-4
1853,48281,0
1912,1793,-4
304,1596,-4
1014,311,0
838,1546,-4
958,1940,-3
96,912,0
636,1109,-4
61,194,-4
1710,1894,-3
1996,1592,-4
175,834,-3
811,481,-4
1470,86,-4
4,1449,-4
428190,1486,-3
1534,1122,-4
40,1014,-4
233,276,0
1367,271,-4
13,536,0
1812,954,-4
383,1592,-3
1111,636,-4
716,785,-4
1677,25,-3
1790,123,-3
1344,940,-4
1694,205,0
1690,1100,-3
1793,1596,0
86,1199387,-3
1194,698,0
1147,41,0
234,1490,-3
164,1954,-4
1061,1960,-4
186,1392,0
86,1733,-4
2041,291,-3
1366,2016,0
2041,2099426,0
1821,238,-4
1976,581,-4
1219,1683,-1
751,277,-4
318,25,-4
1820,1013,0
2016,1403,0
432,96,-3
1168,1694,-4
1075,1688440,-3
1606,568,0
1340,1813,0
708,811,-3
267,493,-3
1858,157,-4
200,1000,-4
1060,394,0
311,1958,0
1602,1193,0
86,312,-3
993,91,0
1192,1265,0
1464,1266,-4
518,482,-4
810,184,-3
536,1948,-3
1433,805,-3
1870,578,-4
751,740,-4
2057,2029,-3
1921,1199,-4
666,2051,0
1554,1739,-3
2029,954,-4
1848,179,-3
718,785,-4
1392,1950,0
22,1344,-2
653,2018,-3
1208,1667,0
697,194,0
91,685,-3
1534,1597,0
619,1881,-3
4,803,-4
361,1624,-3
886,1441,-4
1666,83,-3
27687,1508,-4
784,1881,-3
1534,1585,-3
1849,136,-4
698,1870,-4
322,1373,-3
1075,257,-3
338,484,-4
1453,459,0
1886,868,0
1835,534,0
5,2057,-3
475,1695,0
1370,61,-1
1013,1935,0
1208,1175,-3
86,1908,-2
1373,188,-4
541,1849,-4
1373,245,-4
547,954,-3
1894,1536,-3
716,475,0
381,1467,-2
872,1942,-4
1491,1545,-3
1858,1030,-3
922,1293,0
225,1416,-4
1351,1958,-4
1891,527,0
1695,35,-4
1994,1084,0
446,1248,0
1538,543,0
1463,1043,-2
274,868,0
1881,547,-4
1389,317,-3
1542,738,-3
2010,1048,0
311,940,0
636,1046,0
872,1483,-4
1340,274,0
50,541,0
96,1975282,0
1688440,75,-3
834,1654,0
1618,536,-4
507,1441,0
446,1517,-4
2024,1762,-4
296,1992,-4
1370,1227,-3
123,1436,-3
2011,810,-4
1726,914,-4
1477,1461,-4
1670,685,0
567,238,0
1553,291,-4
1769,1497,-4
1014,1929,0
519,1291,0
475,1920,0
1453,164,0
666,41,0
234,1877,0
175,1830,-4
398,697,0
204,1529,0
12081,1407,-2
1810,1367,-3
1542,1297,-4
396,2009,0
1996,842,-3
1912,1412,-2
960,572,-3
92,31505,-3
1094,271,0
188,1820,-4
229,834,0
1124,1403,0
1747,987,0
1367,1293,-4
29,1538,-3
1389,2089740,-3
1346,205,0
1466,1291,-4
1635,854,0
1470,837,-4
46,1228,-2
825,922,-4
1541,697,0
1384,2057,-3
1769,611,-4
27687,1627,-3
1043,1373,-2
394,1818,0
304,255,-3
1314,791,-2
1954,267,-3
2057,1801,-4
541,1752,-3
1693,1881,-2
770,1344,-2
123,51,-3
987,1627,-4
1486,1212,-4
2,1797,-3
936,1769,-4
1351,75,-4
877,1541,-3
794,475,0
547,886,-4
1782,1793,-4
122,736,-3
1398,1353,-4
61,1786,-3
2041,1421,-4
225,1448,-2
123,1491,-3
14446,1726,-4
406,9,-4
429,1470,-3
179,317,-4
1508,291,-4
1970,722,-4
1346,186,0
1416,1254,-4
2099426,1220,-4
238,2057,-3
1470,1110,-3
733,446497,-4
1042,116,-4
3180,619,-2
1877,2016,0
1630,150,-2
50,456,0
204,813,-2
1384,838,-4
718,86,-3
1665,419,-4
1602,1168,0
1370,1725,-3
572,276,-3
916,1341,-3
987,657,0
1596,1818,0
1449,1912,-3
2041,267,-3
1110,1291,-4
1314,1463,-3
1483,1529,0
1030,541,-4
1750,968,-4
1478,763,-4
137,3582,0
2099426,5,-4
186,86,-4
914,1403,0
842,636,-4
349,1227,-4
1219,987,-2
912,755,-3
988,1573,-4
1311,1616,-3
229,958,0
296,1343,-4
588,39,0
988,423,-4
588,1521,-4
2051,1726,-4
4,1466,-4
811,1271,0
1450,2051,-4
357,5,-2
1414,361,-2
1165587,1820,0
1776,1946,-4
380,842,-3
954,115,-3
1384,4,0
373,1416,-4
1389,1953,-4
1208,1993,-4
2056,1266,-3
1271,1190,-2
689,1065,-4
1695,163,-4
143,1310,0
1185,1124,-3
784,1467,-4
1293,257,0
475,479,0
318,1585,-4
811,567,0
1192,381,-4
1165587,1534,0
1194,164,0
475,26,0
2099426,372,-3
1046,770,0
305,1635,-4
340,163,-4
1880,1935,-4
1541,1942,-3
33,486,-3
1948,1880,-4
1849,1174,-4
14446,891,-4
1606,1695,-4
914,1816,-2
1323,2007,-3
115,1048,-4
854,1693,-4
2018,1951,-3
1412,1921,-3
1050,1247,-3
573,26,-3
1464,1025,-3
588,1612,-4
404,489,-3
2047,475,0
1338,1100,-4
1467,1665,-4
872,17,-2
1366,1480,0
1649,1373,-4
1122,1477,-4
162,1403,0
1409,1908,-4
136,27687,-3
1248,689,-4
1478,1797,-3
993,150,0
1953,1654,0
580,1747,0
131,1223,0
224,1556,-2
1556,229,0
1130097,1061,-3
1821,61,-3
940,51,-3
1398,1820,0
1581,270,-4
893,1725,-3
1517,626,-4
1908,1781,0
811,49,-3
1744,794,-3
1720,1116,-3
838,2047,-4
1373,1858,-4
626,751,-3
204,1478,-4
580,988,-3
276,1220,-3
2089740,1585,-4
619,322,-2
1737,1854,0
233,825,0
736,1168,-3
271,958,0
1581,1063,-3
430,71,-4
615,40,-3
1220,1373,-2
314,1389,-3
91,482,-3
1529,2009,0
1223,1870,-4
1254,162,-3
1891,689,0
648,1271,-3
200,1448,-4
1353,2009,0
96,1612,-3
51,1762,-4
1703,1534,-3
748,188,-4
1726,680,-3
100,396,-3
1075,1894,-4
811,889,0
1353,489,-4
1695,100,-4
727,51,-3
1154,1881,-3
1935,459,0
1994,484,-4
1521,5,-2
648,1854,-4
1311,1175,-2
1908,1694,-4
834,1545,-3
741,1449,-4
1048,1110,-3
1046,1511,0
164,122,-4
525,150,0
432,1403,0
1960,372,-4
1602,1124,-4
1050,142,0
483,889,0
406,1920,0
137,186,-3
1602,993,0
1747,916,0
96,377,0
568,1810,-4
1644,863,0
1179,109,0
1762,1542,-4
1122,1337,0
1897,567,0
17,305,-3
1219,1801,-3
567,784,-4
163,912,-3
1581,854,0
2011,1812,-4
1346,175,0
1667,1517,0
1219,1886,-2
1921,834,-3
1635,2057,-4
966,1897,0
1470,912,-4
751,1695,0
1750,1463,-3
2010,1344,-3
653,1212,-3
1223,1541,-4
522,1116,-3
484,1421,-4
391,1309,0
1494,357,0
229,1409,0
1880,364,-3
305,811,-4
1538,653,0
1341,522,-4
1654,150,0
1649,1433,-4
340,958,-4
1925,1165587,-4
1958,60,0
2051,1467,-4
868,854,0
1807,2018,-3
479,571,-4
257,25,-3
1538,1820,-4
810,157,-3
2099426,1147,-4
1697,1462,-4
886,72,-3
2010,1854,0
1266,175,-3
233,1545,0
1266,916,-3
116,1600,-2
1908,83,-3
1538,149,-3
317,150,-3
350,115,-3
2047,1175,-3
1147,968,-3
204,1337,0
479,1412,-3
456,698,0
75,317,0
751,1048,-4
1122,27687,-4
1881,304,-4
2009,369,0
71,990,-3
219,2009,0
1697,71,-3
406,33,-4
486,1611,-2
1948,72,-3
1585,1521,0
1247,1407,-2
26,966,0
1940,792,0
64,1542,-4
186,1340,0
2018,277,-2
987,1533,-3
1190,13,0
77,1667,-4
383,1373,-4
483,157,0
527,1116,-4
1432,1450,-2
116,1541,-3
1946,689,-4
298,811,0
940,157,-4
534,1968,0
1615,1975282,-3
214,1010,-4
123,1554,-2
1353,1542,-3
1597,1389,0
55,1006,-3
1179,672,0
1248,653,0
580,872,-3
1793,484,-4
364,940,0
179,1436,-3
381,179,-3
318,242,0
2057,430,-3
791,1337,0
1483,1659,-3
1174,123,-4
245,404,-3
1449,296,-4
727,1865,-4
428190,430,-3
202,837,-3
430,1,-1
832,109,0
1951,198,0
1486,305,-4
1853,1453,-3
619,1529,-4
131,1697,0
204,1630,-4
658,1194,0
1084,381,-2
1581,1265,-3
486,238,-2
1654,136,0
482,1175,-3
1208,1013,-4
1078,270,-2
744,1894,-4
1835,1323,0
1392,1412,-4
1409,1164871,-4
446497,1533,-4
960,1192,-3
999,314,-2
543,611,-4
238,716,-4
1709,338,-2
33,392,-4
912,205,0
1649,1730,-4
259,571,0
86,1786,-2
1821,1037,-4
341,1154,-3
1453,645,-4
699,580,-4
745,517,-4
1596,41,-4
1875,727,-3
740,1065,-3
842,1353,-4
116,960,-2
214,993,0
1314,1249,-4
31505,381,-3
1968,738,-4
1227,2019,-3
1453,292,0
224,205,0
1891,229,0
541,1130097,-3
1851,137,-4
1178,25,-4
1227,1384652,-3
565,61,-4
423,142,0
1384652,456,-3
1432,86,-4
1421,1866,-4
805,1793,-4
611,2057,-1
1407,1248,-4
1710,1046,0
481,1886,-4
2056,1677,-4
1323,770,-2
1921,317,-3
322,49,-3
1556,1580,-3
1477,1248,-4
689,48281,0
364,527,0
1293,77,-4
990,1862,-3
242,1042,-3
1370,430,-2
1812,304,-4
238,2019,0
2024,437,0
1208,1935,0
1951,1767,-3
1322,1560,-4
2057,2089740,-4
611,1037,-3
1970,150,-4
1060,186,0
311,578,0
1870,1470,-3
1048,1693,-4
1818,1433,0
275,733,-4
834,40,-3
1835,1309,0
666,479,-4
2029,1518,-4
267,838,-3
95,722,-4
92,430,-3
391,1533,-3
1904,298,0
1886,1725,-3
1124,1110,-2
96,611,-4
1801,200,-3
1542,46,-3
1228,872,-3
1726,1467,-4
200,1061,-4
1013,361,-3
1247,380,-3
22,1463,-2
736,960,-3
1649,446497,-3
1618,1688440,-3
1450,1744,-3
274,1797,-4
1534,905,-2
257,1950,-3
428190,1737,0
1680,1644,-3
1726,1164871,-4
2019,868,0
398,571,0
666,834,0
645,1912,-4
1585,49,-3
242,214,-4
35,1797,-3
2041,1536,-3
680,1124,-3
658,1511,0
430,35,-3
1363,423,-2
17,785,-3
1412,285,-3
544,1265,-4
2099426,149,-4
1204,1511,0
1912,1975282,-3
1521,429,0
91,1178,-4
1849,1632,-3
727,1043,-3
493,999,-4
1744,1228,-2
1497,1730,-4
219,364,0
1363,1725,-4
1168,1958,-3
30,350,0
1398,1309,0
1618,1043,-3
1384652,708,-3
204,834,-3
738,429,-3
1615,770,-2
940,29,0
1891,1254,-3
116,785,-4
1518,486,-4
1006,314,-3
1769,277,-4
1781,1782,-3
1384,33,-4
1767,1168,-4
391,1914,-4
1432,1338,-4
175,1908,-4
1311,1782,-3
519,1212,0
1810,200,-3
1094,1238,-4
794,615,-4
888,954,0
1975282,888,0
1739,968,-4
1820,657,0
1738,1786,-4
1958,350,-4
1014,1483,-4
1363,1797,-2
877,872,-3
1247,590,-4
2041,1596,0
302,1185,-4
377,188,0
1920,1517,0
657,1849,0
1797,1976,-3
1801,1602,-4
854,1063,-3
581,117,-4
1786,1725,-4
1782,1666,-2
184,741,-3
1992,245,-4
1597,936,0
527,50,0
590,302,0
1050,123,-4
1542,22,-3
1343,547,0
1993,58,-4
1322,95,0
1694,396,-4
1703,1178,-4
648,391,-4
1529,1730,-4
1511,372,-3
428190,1750,-4
404,1818,-4
567,71,0
1010,1875,-4
1665,834,-3
1414,1638,-2
1744,225,-3
1219,736,-3
1511,791,-3
1063,199,-2
547,1638,0
1450,361,-3
838,568,0
1630,733,-3
814,1597,0
1407,1921,-4
637,285,-4
1948,2031,-3
1908,342,-3
276,304,-4
1807,5,-2
770,1461,-4
794,572,-3
573,1025,-4
5,1309,-4
954,738,-4
259,1384652,-4
3180,708,-3
518,1818,0
1461,666,-3
1293,751,0
267,534,-4
493,340,-4
150,1366,-3
271,888,0
1720,905,-3
1935,430,0
1190,1026,-3
475,230,0
580,1461,-3
459,1142,0
61,1606,-4
1683,517,-3
1612,571,-4
184,1353,-2
475,1982,0
912,1996,-4
1709,1529,-4
1996,1835,0
271,1812,-4
1094,1436,-4
493,2006,-2
1266,718,-2
1904,527,0
507,72,-4
95,30,0
2007,204,-4
1799,685,-4
1199,25,-2
1168,1190,-3
1925,1894,-4
214,1993,-4
1776,868,0
1638,1483,0
1037,58,-4
1683,1511,-2
1271,267,-2
1816,968,-4
446,1346,-3
1042,200,-3
1665,1497,-4
3582,86,0
1810,486,-2
1480,1538,0
736,1025,-3
1480,1477,0
1343,733,-4
392,1111,-3
1220,12081,-3
131,35,0
952,1518,-4
481,61,-4
1801,1233,-3
794,1178,-4
1449,1975282,-4
733,573,-4
763,406,0
637,1667,-4
952,96,0
1219,91,-3
517,571,0
1398,1616,-4
274,2051,0
1384652,184,-2
893,1168,-3
740,1147,-4
834,179,-3
1219,1710,-3
1710,392,-3
698,1538,-3
2057,446,-3
1491,275,-3
1403,1409,0
999,868,0
813,1309,0
755,242,0
116,1752,-2
573,137,-3
1581,1733,0
1709,568,0
12081,219,-4
952,2056,-4
238,987,-4
1219,1233,-2
486,1697,-4
1914,2016,-3
1886,672,-3
952,689,0
1534,277,-4
486,172,-4
2089740,796,0
1409,1881,-3
1659,446497,-2
1368,1467,-3
1436,1433,-3
1449,292,-4
394,1545,0
920,1875,-3
1438,1219,-2
1592,518,0
483,1310,0
123,1946,-3
115,785,-4
891,2057,-3
1762,292,0
718,1389,-3
571,987,-4
1670,1592,0
1227,936,-4
1293,92,-4
791,1466,-3
922,1694,0
680,1635,-3
966,1013,-4
1649,1725,-4
1060,588,-4
1592,1449,-4
242,837,0
1904,115,-4
1560,1208,-3
722,5,-3
35,580,-3
877,184,-3
1875,175,-3
905,1659,-2
1238,1781,0
637,1953,0
31505,1050,-3
296,1807,-3
172,163,-4
1,1124,-4
117,276,-3
1370,1353,-2
172,1762,-4
534,1666,-4
150,429,-3
1192,792,-4
803,1185,-2
49,340,-4
1297,1175,-4
1944,3582,0
338,257,-2
1693,1695,-3
322,1545,-3
940,72,0
314,1644,-4
1471,285,0
1807,653,-4
2051,1297,-4
722,1010,-3
727,1849,-4
162,1075,-2
277,245,-4
275,1223,-4
318,736,0
578,1367,-4
1739,493,-3
394,49,0
1104,1940,-3
1680,1737,0
1968,803,-4
380,2047,-4
1392,1193,0
966,1737192,-4
1511,1762,0
1618,572,-3
83,1630,-3
1470,275,-4
999,242,0
1954,219,-4
1343,486,-4
863,1545,0
162,960,-2
1665,1061,-4
17,1752,-2
741,33,-3
322,1265,-3
1769,648,-4
277,188,-3
1179,2051,0
1975282,432,-3
912,1602,-4
1389,1767,-2
912,645,0
377,1810,-4
736,1968,-4
1416,1633,-3
267,1546,-3
1851,741,-4
2024,1353,-4
1030,916,-4
1992,1174,0
1737,751,0
50,590,0
398,1392,0
369,188,-4
1412,1199,-3
1690,916,0
2007,658,0
482,1043,-3
484,1615,-4
1247,1881,-3
423,1944,-3
518,2099426,0
792,842,0
131,727,0
1929,1880,-4
637,429,-3
1030,571,0
1649,1407,-2
522,1697,-3
1373,543,0
1340,1124,-4
1219,1130097,-3
578,203,-4
1192,394,0
2047,1368,-1
115,1204,0
5,96,-4
1116,267,-2
373,1363,-4
50,517,0
245,1367,-4
394,834,0
1862,645,-4
131,1026,0
1951,1677,-3
2024,1624,0
1627,2047,-4
372,446497,-3
202,115,-3
2024,1536,-4
740,398,-3
1467,233,-4
1441,238,0
2047,1747,0
692,1010,0
1786,1130097,-3
1658,1309,0
1461,534,0
1117,234,-2
699,178,0
1793,1373,0
891,1351,-3
423,556,-4
1384652,1227,-3
626,960,-4
340,893,-2
163,1165587,0
1000,868,0
406,763,0
519,811,0
792,1849,-4
1953,1816,-4
543,1925,-4
484,229,0
547,1737192,0
1228,2031,-4
1494,1633,0
1367,1463,-3
1179,396,-4
958,406,-4
202,245,-4
2009,1694,0
