u,v,PA
700,274,0
309844,146270,18
267,428,0
373,605,6
22,673,27
437,572,56
781,189,3
437,267,208
722,77,12
203,147,6
318,37,20
71,834,24
44,429,36
763,189,5
730,234,24
162,357,140
700,136,0
242,527,0
745,888,6
758,106,144
188,431,50
369,680,88
578,390,3
667,714,16
721,85,12
49,507,40
437,876,16
733,1384652,282
714,888,24
267,745,52
44,376,4
611,763,30
207,392,5
231,706,3
184,189,1
27687,479,28
445,838,12
349,914,1
922,536,3
872,35,95
25,1384652,705
479,557,16
634,781,12
706,462,6
230,264,18
719,782,8
700,232,0
63,394,4
55,529,8
357,437,224
729,2089740,20
9,332,5
383,341,585
30,96,11
267,137,286
117,390,21
184,758,12
34,224,39
42,332,25
67,85,4
740,380,102
423,370,90
536,342,48
673,285,36
876,275,6
917,380,17
483,697,28
825,737,2
370,751,5
93,856,2
784,350,36
363,136,7
718,72,42
541,312,16
318,872,25
396,714,160
718,51,102
13,396,140
784,636,40
123,198,3
567,206,88
431,377,80
727,659,21
748,111,12
402,614,15
143,740,18
193,634,8
362,519,20
72,666,21
763,781,15
876,22,6
861,1,20
92,149,26
332,547,60
121,369,72
419,369,176
2089740,380,68
115,718,30
360,9,4
233,439,35
99,578,4
428,512,0
634,349,4
666,699,21
370,25,75
13,636,70
719,188,10
394,67,16
136,202,63
225,360,24
149,67,4
573,557,56
521,713,9
267,518,156
837,518,18
318,364,45
795,673,27
784,852,24
755,897,9
12081,394,0
316,296,4
758,122,348
13,856,7
9,371,3
49,840,0
475,267,182
360,225,24
360,342,64
1384652,781,141
722,308,32
238,224,6
381,17,140
799,203,4
722,44,16
891,657,20
122,108465,203
627,372,14
889,598,10
372,813,7
457,137,66
697,371,12
888,2521991,3
299,722,12
373,203,6
876,914,2
615,657,40
522,605,8
67,680,44
741,27687,7
795,547,36
785,13,14
503,58,64
837,235,24
699,842,7
571,406,378
634,22,12
33,194,80
547,371,36
1,116,68
922,305,3
186,316,3
876,26,30
611,795,18
117,751,7
383,49,520
266,748,6
521,634,36
2521991,2089740,4
202,541,36
528,567,16
363,615,8
716,888,0
541,370,20
362,538,4
9,888,3
922,799,4
224,58,48
91,67,160
383,563,195
51,188,85
341,235,72
287,377,40
543,645,3
680,852,66
149,445,6
198,59,27
318,27687,35
430,390,21
636,483,70
475,279,14
486,49,64
383,781,195
659,832,14
765,444,1
419,889,110
775,730,2
186,360,12
445,842,6
737,831,3
376,737,1
242,361,0
718,699,42
259,2521991,1
578,117,7
184,730,2
878,748,10
147,332,30
837,341,27
432,285,40
512,224,15
784,203,4
832,645,6
838,722,8
765,108465,7
235,30,88
645,580,12
147,457,36
444,394,4
475,398,14
598,863,4
550,781,6
448,275,15
332,279,10
299,636,30
145,30,11
390,567,24
631,115,15
529,116,34
414,296,24
184,203,1
741,572,7
259,445,6
233,538,7
162,2089740,20
206,44,44
46,457,42
46,373,42
206,457,66
578,299,3
225,598,12
224,381,84
730,91,80
164,572,14
697,224,12
312,292,8
613,184,3
60,748,14
832,193,4
116,631,102
611,431,60
224,92,78
1384652,303,47
361,429,9
308,444,8
106,627,24
121,189,9
779,111,18
121,95,9
312,872,20
225,46,42
573,891,56
205,718,42
475,322,42
25,534,75
206,362,44
277,889,45
541,137,44
795,838,6
680,34,143
514,342,272
429,279,18
85,430,7
657,613,15
26,149,15
765,737,1
147,390,18
634,292,8
383,730,130
475,1384652,329
627,631,6
529,170,3
266,745,6
722,369,32
147,264,36
342,72,112
259,42,5
721,376,12
615,680,88
71,224,36
657,430,35
308,512,40
225,571,126
457,85,6
700,332,0
316,349,1
296,657,20
267,72,182
309844,2089740,36
146270,627,4
891,349,4
390,96,3
149,588,5
25,332,75
99,888,12
147,163,12
796,37,32
9,550,2
713,184,1
361,75,8
392,332,25
93,288,4
486,493,224
536,316,3
779,810,33
376,234,12
5,831,27
91,116,1360
170,195,9
391,37,20
230,514,51
781,299,9
784,145,4
543,231,3
71,312,48
30,299,33
563,51,51
383,285,260
67,791,8
373,611,36
35,61,19
277,838,18
609,111,18
551,394,32
259,146270,2
673,302,18
598,33,20
842,312,4
445,721,72
563,327,33
302,58,32
722,459,4
332,699,35
203,302,2
810,108465,77
519,538,5
856,837,3
856,341,9
680,394,44
528,922,2
751,792,2
784,302,8
721,26,180
512,572,35
699,573,98
72,634,28
316,796,8
34,326,65
123,111,6
398,799,8
95,722,4
493,666,84
611,71,72
631,831,9
842,373,6
203,137,11
419,371,66
429,318,45
831,33,30
46,852,42
444,659,7
362,63,4
233,133,56
207,457,6
342,61,16
242,795,0
116,60,238
115,136,35
837,733,18
123,311,1
784,713,4
714,146270,16
429,274,81
206,170,33
419,556,616
108465,489,49
726,204,209
863,121,18
371,740,18
17,184,5
163,111,12
198,25,45
205,765,7
770,184,10
889,514,85
519,157,10
697,572,28
108465,856,7
96,27687,7
149,377,8
834,292,4
206,51,187
713,341,9
414,493,168
428,721,0
189,137,11
719,67,8
267,12081,0
204,782,44
479,396,80
13,394,28
430,856,7
431,521,90
292,30,22
157,71,24
327,611,66
631,863,6
445,706,6
396,72,140
313,446,0
525,137,110
722,202,36
149,781,3
203,605,1
133,341,72
571,83,315
383,27687,455
40,571,126
396,543,20
447,706,3
376,543,1
765,567,8
423,303,18
512,26,75
332,115,25
83,206,165
357,719,56
60,63,7
713,277,9
299,580,12
304,27687,49
733,615,48
430,797,112
563,745,6
598,512,10
305,751,3
230,121,27
1384652,357,1316
404,357,644
108465,538,7
615,44,32
840,680,0
234,42,60
621,247,0
58,341,144
507,316,5
608,277,72
371,87,6
311,396,20
383,58,1040
380,703,136
645,751,3
188,106,60
447,71,36
247,547,12
106,369,96
493,8,28
588,414,30
12081,232,0
71,390,36
402,67,20
363,2521991,1
288,186,6
193,667,4
507,522,40
832,445,12
631,285,12
13,219,35
792,536,6
755,429,81
404,34,299
304,613,21
779,147,18
580,459,4
147,195,18
207,856,1
95,391,5
713,838,2
398,713,2
67,17,20
116,34,442
205,763,35
922,361,1
34,512,65
722,137,44
267,235,208
657,445,30
170,636,30
376,198,3
840,274,0
521,636,90
143,12081,0
784,872,20
571,457,126
917,322,6
296,17,20
203,457,6
398,791,4
1384652,232,235
722,512,20
360,164,8
631,257,36
309844,116,306
447,184,3
445,184,6
332,878,25
316,536,3
437,296,32
852,785,12
275,432,30
394,76,12
428,462,0
186,567,24
627,233,14
745,486,16
327,741,11
33,219,50
430,9,7
428,657,0
193,13,14
636,578,10
741,557,4
76,122,87
613,25,45
398,361,2
231,198,9
528,26,30
34,422,91
33,878,50
527,507,100
543,568,6
507,673,45
700,614,0
825,364,18
205,719,14
157,238,4
136,224,21
538,12081,0
621,309844,0
483,312,28
888,637,57
534,706,5
39,876,6
205,402,35
729,627,10
514,729,85
673,13,63
25,611,90
198,188,15
529,67,4
164,538,2
404,370,115
543,527,20
714,605,8
572,376,7
914,834,2
235,1,16
122,39,87
547,645,36
392,588,25
556,95,28
76,529,3
274,719,18
563,580,12
371,232,15
67,326,20
634,257,48
447,302,6
194,27687,56
527,730,40
133,12081,0
219,372,35
795,264,18
567,55,64
318,825,10
238,121,18
364,27687,63
722,93,8
446,200,20
170,444,3
188,673,45
170,309844,27
737,615,8
729,27687,35
349,447,3
613,40,18
267,369,208
232,44,20
722,493,112
446,1384652,188
781,63,3
9,572,7
667,763,10
162,147,30
518,813,6
234,170,36
1,317,2
706,357,28
42,503,20
147,878,30
404,547,276
573,85,14
233,727,21
718,571,126
588,225,30
116,419,748
872,741,5
35,8,19
796,621,0
373,519,30
311,1384652,47
267,77,78
751,745,2
75,727,24
729,377,40
872,916,10
447,106,36
2521991,202,9
667,288,4
729,831,15
567,391,40
627,303,2
727,267,78
317,123,1
568,751,6
897,726,19
71,157,24
614,332,15
266,44,12
275,75,24
891,203,4
77,292,6
279,123,2
598,840,0
563,46,21
636,46,70
394,700,0
914,863,2
322,748,12
95,716,0
922,22,3
377,863,16
304,170,21
202,404,207
445,332,30
279,439,10
422,580,28
621,765,0
525,529,10
274,745,18
60,719,14
457,917,6
657,588,25
489,578,7
483,259,7
609,432,30
313,503,0
200,117,35
205,842,7
563,25,45
391,383,325
876,193,4
224,831,9
312,372,28
796,99,32
25,111,90
233,92,182
111,63,6
136,782,28
825,193,4
429,922,9
204,619,33
257,627,24
275,12081,0
316,224,3
713,360,4
619,304,21
419,703,176
200,619,15
493,423,504
614,645,9
840,198,0
740,429,54
856,878,5
108465,287,35
729,9,5
111,317,6
9,722,4
316,95,1
362,729,20
878,122,145
230,406,54
785,758,24
430,264,42
631,547,36
917,26,15
85,122,29
204,634,44
423,219,90
370,840,0
522,631,24
556,571,588
457,613,18
12081,722,0
264,247,6
459,383,65
422,189,7
394,448,20
200,608,40
758,795,36
673,810,99
381,75,224
727,797,48
92,551,208
429,361,9
380,741,17
479,733,24
512,275,15
550,205,14
195,572,21
479,525,40
842,5,9
384,145,10
615,897,8
615,876,16
377,763,40
578,751,1
1,645,6
673,108465,63
722,364,36
390,49,24
556,765,28
2521991,106,12
71,259,12
745,17,10
275,431,30
733,76,18
117,360,28
614,721,36
897,46,7
292,170,6
619,277,27
2521991,872,5
737,341,9
242,578,0
238,188,10
55,636,80
257,377,96
287,797,80
390,614,9
518,659,42
234,8,12
238,891,8
342,392,80
834,318,10
733,37,24
483,457,42
369,838,16
341,430,63
489,75,56
46,77,21
740,275,18
422,17,35
146270,303,2
33,58,160
136,332,35
1,83,30
137,439,55
327,479,44
12081,184,0
46,557,28
350,741,9
636,810,110
706,279,2
230,792,6
392,423,90
428,372,0
25,730,30
108465,2521991,7
288,605,2
842,27687,7
309844,42,45
659,234,84
9,231,3
763,721,60
837,573,42
391,206,55
232,206,55
775,637,19
164,605,2
136,219,35
697,578,4
432,737,10
349,266,3
398,149,2
299,706,3
406,608,144
432,797,160
391,195,15
837,557,12
580,613,12
106,111,72
164,448,10
302,538,2
162,71,60
657,302,10
621,876,0
13,825,14
299,507,15
445,5,54
729,58,80
770,49,80
309844,232,45
713,136,7
792,775,2
390,5,27
275,2089740,12
398,716,0
200,377,40
551,791,16
507,8,5
61,609,3
106,25,180
726,123,19
429,162,45
521,303,9
891,534,20
423,93,36
598,312,8
207,58,16
573,429,126
275,350,27
637,46,133
234,813,12
61,863,2
697,279,8
186,745,6
203,259,1
370,627,10
507,234,60
232,184,5
572,391,35
108465,122,203
363,573,14
608,51,136
713,518,6
349,372,7
380,372,119
342,380,272
799,727,12
447,198,9
572,888,21
528,370,10
840,729,0
889,257,60
371,430,21
703,636,80
1,792,4
383,92,1690
200,394,20
863,917,2
863,71,24
225,842,6
327,123,11
483,889,35
419,525,220
61,264,6
189,302,2
357,447,84
475,383,455
311,571,21
598,116,68
37,371,12
475,567,56
370,391,25
309844,700,0
838,279,4
718,233,42
363,316,1
206,722,44
838,275,6
527,277,180
703,202,72
571,202,189
627,267,52
147,136,42
390,527,60
76,479,12
369,384,80
162,22,15
842,745,2
362,8,4
26,143,45
872,856,5
876,637,38
486,856,8
2089740,437,32
1,5,18
572,423,126
621,303,0
116,758,408
46,479,28
202,897,9
571,85,21
247,613,3
727,59,27
26,797,240
1,360,8
234,55,96
605,792,2
518,136,42
889,430,35
83,615,120
825,342,32
55,288,16
536,317,3
588,203,5
852,326,30
785,26,30
813,224,3
259,784,4
27687,716,0
512,13,35
341,431,90
837,615,24
12081,825,0
205,556,196
791,613,6
571,99,84
810,357,308
483,49,56
59,856,9
578,147,6
143,697,12
541,390,12
44,275,12
341,842,9
305,795,9
462,203,6
580,30,44
758,305,36
631,571,63
748,193,4
361,402,5
326,40,30
361,5,9
598,26,30
486,376,8
145,726,19
247,852,6
311,205,7
22,39,9
13,96,7
35,680,209
722,205,28
91,770,400
512,414,30
611,225,36
186,25,45
149,204,11
598,636,20
369,364,72
745,636,20
259,613,3
377,872,40
680,792,22
164,186,6
377,376,8
8,264,6
722,207,4
350,194,72
838,611,12
219,398,10
645,59,27
489,726,133
745,392,10
888,49,24
402,305,15
377,657,40
703,700,0
372,838,14
748,580,8
49,459,8
349,46,7
76,77,9
551,5,72
75,447,24
878,396,100
332,87,10
423,888,54
479,146270,8
657,422,35
296,782,16
700,58,0
111,419,132
457,525,60
512,863,10
525,364,90
87,914,2
264,372,42
99,123,4
398,541,8
737,700,0
758,277,108
1,55,16
76,889,15
267,740,156
373,384,60
831,369,24
292,12081,0
404,362,92
571,17,105
825,567,16
257,782,48
398,25,30
233,39,21
727,861,30
621,745,0
525,1384652,470
380,667,34
349,371,3
305,619,9
840,39,0
538,861,10
547,238,24
30,609,33
264,394,24
396,634,80
145,578,1
741,519,5
740,364,54
834,383,130
95,341,9
224,111,18
71,303,12
287,8,5
406,342,288
567,396,160
861,551,80
666,439,15
457,164,12
327,59,99
522,25,120
277,234,108
795,852,18
697,170,12
621,428,0
121,303,9
657,528,10
740,122,174
42,459,5
116,204,374
534,390,15
83,770,150
40,745,12
703,33,80
840,721,0
372,831,21
384,296,40
666,40,18
852,431,60
117,718,42
238,257,24
364,292,18
703,837,24
459,785,2
489,457,42
459,631,3
381,341,252
406,58,288
437,659,56
567,342,128
309844,342,144
77,106,36
350,371,27
360,791,8
93,376,2
121,627,18
303,837,3
58,2521991,16
680,796,88
765,58,16
507,341,45
274,312,36
614,784,12
914,288,2
207,878,5
279,361,2
745,917,2
312,611,24
305,483,21
673,35,171
489,775,7
143,726,57
831,459,3
157,667,4
369,834,16
721,861,120
318,342,80
332,361,5
608,447,24
234,657,60
234,317,12
1,287,10
266,775,3
202,224,27
37,92,104
91,751,40
541,825,8
740,384,60
12081,274,0
225,317,6
419,878,110
534,432,50
369,61,8
225,914,6
842,302,2
230,327,33
369,667,16
137,17,55
308,751,8
308,96,8
83,111,90
527,267,520
810,447,33
200,186,15
189,370,5
380,571,357
726,206,209
799,528,8
364,316,9
507,146270,10
71,308,96
609,274,27
765,242,0
813,203,1
380,727,51
503,207,4
26,527,300
396,627,40
556,371,84
521,136,63
534,619,15
193,232,10
719,572,14
785,133,16
195,277,27
145,791,2
27687,149,7
578,376,1
157,431,20
751,541,4
636,398,20
527,525,200
266,863,6
796,204,88
614,703,24
46,588,35
763,17,25
384,550,20
406,198,54
342,370,80
390,1,6
312,384,40
797,279,32
795,514,51
563,795,9
219,556,140
67,274,36
437,512,40
459,518,6
193,363,2
35,13,133
203,396,20
149,63,1
863,598,4
231,115,15
363,666,3
445,667,12
287,514,85
611,362,24
63,837,3
419,503,88
361,428,0
404,1,46
445,781,18
519,22,15
326,447,15
551,578,8
143,423,54
878,733,30
200,304,35
95,557,4
332,123,5
1384652,527,940
33,588,50
518,528,12
63,316,1
77,529,3
143,782,12
67,636,40
611,657,30
852,588,30
219,264,30
266,186,9
350,525,90
785,556,56
714,308,64
706,157,2
309844,872,45
373,751,6
234,380,204
200,872,25
888,157,6
61,267,26
322,274,54
782,146270,8
479,541,16
666,392,15
493,751,28
274,121,81
193,184,2
737,93,2
122,503,116
44,396,80
713,770,10
370,363,5
631,8,3
439,42,25
428,396,0
659,657,35
308,390,24
238,67,8
361,85,1
770,518,60
234,332,60
9,111,6
779,75,24
349,40,6
419,37,88
917,145,1
55,775,8
645,636,30
341,713,9
39,242,0
832,322,12
39,726,57
136,613,21
202,755,81
448,922,5
721,292,24
341,234,108
390,145,3
1,72,14
361,722,4
799,349,4
322,737,6
448,13,35
26,667,30
117,219,35
503,755,36
398,614,6
233,916,14
613,390,9
122,404,667
349,428,0
93,369,16
163,556,56
136,204,77
231,657,15
716,889,0
431,326,50
170,2521991,3
5,369,72
719,99,8
748,876,4
267,432,260
547,422,84
317,360,4
170,259,3
311,861,10
637,162,95
242,231,0
479,838,8
439,311,5
92,419,572
92,557,104
8,63,1
813,430,7
26,700,0
611,143,18
534,108465,35
796,447,24
699,30,77
444,58,16
371,37,12
203,791,2
259,475,7
667,810,22
194,431,80
392,475,35
613,380,51
697,61,4
91,242,0
514,631,51
758,614,36
189,842,1
93,311,2
392,316,5
111,362,24
637,613,57
799,422,28
277,83,135
447,673,27
856,205,7
856,122,29
402,371,15
621,108465,0
341,445,54
184,371,3
627,207,2
534,627,10
541,713,4
795,279,6
572,713,7
326,27687,35
342,422,112
318,279,10
83,71,180
87,699,14
551,503,32
317,444,1
445,637,114
795,136,21
784,316,4
59,71,108
422,527,140
318,831,15
825,71,24
372,342,112
37,796,32
541,381,112
437,578,8
381,718,168
26,92,390
446,550,8
770,309844,90
863,703,16
30,170,33
235,729,40
83,634,60
332,550,10
578,428,0
634,799,16
842,521,9
486,842,8
92,184,26
60,305,21
1,370,10
448,457,30
149,133,8
608,219,40
722,231,12
541,697,16
274,157,18
719,37,8
2089740,446,16
718,299,18
91,856,40
571,404,483
292,40,12
279,657,10
740,765,6
627,373,12
550,44,8
580,357,112
384,430,70
745,557,8
92,37,104
791,404,46
384,232,50
305,360,12
121,93,18
718,541,24
791,431,20
781,37,12
551,99,32
863,392,10
299,888,9
363,203,1
609,362,12
680,514,187
770,432,100
279,721,24
519,194,40
341,157,18
609,363,3
122,60,203
563,914,3
706,145,1
748,313,0
406,916,36
122,231,87
567,123,8
318,9,5
292,303,2
832,72,14
404,292,46
543,722,4
93,46,14
106,422,84
550,55,16
77,528,6
164,92,52
242,391,0
75,350,72
837,439,15
322,1,12
203,121,9
342,414,96
657,615,40
512,489,35
557,529,4
34,22,39
390,149,3
312,75,32
318,85,5
369,71,96
275,219,15
205,233,49
700,266,0
406,614,54
233,332,35
162,439,25
30,462,66
1,831,6
667,235,16
288,232,10
111,71,72
13,486,56
225,825,12
44,296,16
479,193,8
279,145,2
75,522,64
30,580,44
277,303,9
266,445,18
133,459,8
233,106,84
267,525,260
580,917,4
225,63,6
394,8,4
231,287,15
60,550,14
309844,71,108
714,147,48
296,538,4
184,76,3
13,551,56
519,550,10
136,730,14
361,384,10
791,796,16
123,779,3
615,137,88
745,842,2
37,111,24
322,518,36
613,26,45
233,1384652,329
311,373,6
34,784,52
225,673,54
897,390,3
233,350,63
162,775,5
383,308,520
479,37,16
797,578,16
296,840,0
528,198,6
327,462,66
219,770,50
274,380,153
8,550,2
613,706,3
2089740,398,8
578,72,7
188,115,25
224,157,6
825,758,24
115,784,20
46,369,56
30,63,11
1384652,285,188
115,779,15
55,406,144
99,842,4
697,39,12
431,195,30
266,205,21
659,285,28
813,95,1
136,414,42
861,341,90
512,792,10
782,547,48
25,398,30
257,34,156
834,30,22
75,136,56
203,713,1
259,147,6
170,716,0
528,380,34
547,206,132
419,748,44
308,726,152
308,439,40
392,371,15
75,429,72
242,431,0
309844,852,54
296,145,4
547,741,12
636,188,50
203,547,12
810,437,88
93,111,12
779,364,27
697,49,32
384,108465,70
2521991,206,11
716,302,0
370,697,20
202,200,45
700,645,0
522,63,8
391,914,5
308,238,16
522,322,48
1,916,4
370,27687,35
12081,457,0
770,350,90
317,304,7
312,309844,36
888,799,12
361,234,12
357,598,56
304,462,42
67,785,8
518,557,24
872,404,115
147,194,48
888,372,21
308,313,0
889,462,30
370,551,40
296,680,44
296,115,20
916,264,12
13,146270,14
12081,609,0
361,842,1
92,363,26
479,1384652,188
108465,634,28
922,406,18
96,146270,2
77,145,3
71,60,84
60,398,14
784,267,104
303,627,2
852,404,138
394,842,4
765,146270,2
889,2521991,5
288,834,4
551,775,8
198,889,15
745,605,2
447,444,3
149,572,7
667,1384652,94
444,342,16
580,755,36
313,519,0
30,12081,0
611,525,60
44,878,20
556,825,56
763,147,30
842,422,7
832,758,24
713,313,0
72,203,7
765,402,5
285,27687,28
914,462,6
619,608,24
431,149,10
729,275,15
95,380,17
137,91,440
716,673,0
557,341,36
259,781,3
376,567,8
567,414,48
598,288,4
377,12081,0
390,85,3
371,186,9
76,380,51
267,26,390
645,164,6
288,522,16
115,528,10
423,364,162
370,755,45
163,799,8
35,613,57
123,503,4
233,35,133
779,914,3
837,825,6
430,557,28
372,195,21
718,264,36
133,631,24
631,613,9
95,598,2
304,123,7
740,432,60
751,483,7
370,619,15
58,727,48
383,580,260
493,75,224
55,431,80
170,377,24
810,1384652,517
362,432,40
27687,96,7
840,703,0
205,357,196
567,568,48
206,432,110
91,55,320
578,863,2
204,342,176
609,186,9
721,67,48
863,507,10
398,2521991,2
714,578,8
703,550,16
837,718,18
914,1384652,47
619,645,9
680,194,88
796,726,152
837,578,3
95,475,7
25,514,255
431,147,60
26,572,105
369,785,16
5,234,108
342,33,160
224,813,3
274,770,90
322,296,24
35,309844,171
784,573,56
383,363,65
207,1,2
63,55,8
462,897,6
63,376,1
76,861,30
372,188,35
637,861,190
755,637,171
219,369,40
637,145,19
657,741,5
889,242,0
235,716,0
149,275,3
667,543,2
445,203,6
5,745,18
914,922,1
308,825,16
614,5,27
122,700,0
92,432,260
383,186,195
439,111,30
370,810,55
861,349,10
917,563,3
267,637,494
446,371,12
922,326,5
116,30,374
572,115,35
727,619,9
745,121,18
922,99,4
810,381,308
615,370,40
598,446,8
311,573,14
423,111,108
745,730,4
507,888,15
372,751,7
580,285,16
259,266,3
861,115,50
706,123,1
718,462,36
657,878,25
313,122,0
666,13,21
242,779,0
189,444,1
422,525,70
840,737,0
914,422,7
608,891,32
614,394,12
188,404,115
225,733,36
63,30,11
765,605,1
550,448,10
636,657,50
680,598,22
784,60,28
700,49,0
619,573,42
203,35,19
157,342,32
563,322,18
313,380,0
332,775,5
700,714,0
242,667,0
605,755,9
391,838,10
785,224,6
1384652,445,282
791,419,44
785,503,8
621,536,0
147,188,30
60,40,42
117,146270,14
76,437,24
543,444,1
512,233,35
22,740,18
95,657,5
304,203,7
431,349,10
360,448,20
543,146270,2
785,528,4
758,146270,24
588,371,15
304,9,7
423,462,108
136,1384652,329
430,238,14
538,792,2
852,162,30
383,313,0
71,567,96
878,35,95
8,232,5
288,137,22
17,834,10
63,242,0
115,170,15
522,627,16
380,437,136
763,430,35
512,234,60
133,42,40
462,404,138
364,529,9
519,42,25
448,876,10
22,194,24
423,563,54
350,360,36
428,876,0
680,659,77
274,556,252
149,76,3
163,428,0
755,299,27
459,507,5
313,876,0
108465,394,28
34,775,13
459,195,3
572,85,7
357,432,280
26,9,15
305,363,3
462,27687,42
27687,889,35
362,1384652,188
242,1384652,0
327,423,198
878,200,25
700,475,0
44,659,28
479,194,32
224,547,36
784,274,36
392,91,200
550,327,22
360,71,48
538,840,0
726,528,38
95,76,3
810,12081,0
377,571,168
392,184,5
891,279,8
483,203,7
25,528,30
699,785,14
419,782,88
285,77,12
235,200,40
46,327,77
318,186,15
224,550,6
550,370,10
428,377,0
35,49,152
572,459,7
327,238,22
721,373,72
122,42,145
796,430,56
422,133,56
266,770,30
72,763,35
852,645,18
316,83,15
349,200,5
872,431,50
631,96,3
108465,838,14
146270,392,10
259,543,1
659,2521991,7
534,27687,35
538,26,15
557,376,4
608,700,0
313,72,0
303,922,1
572,49,56
667,889,10
143,188,15
512,775,5
384,729,50
457,326,30
332,580,20
718,784,24
108465,876,14
730,825,4
1384652,77,141
634,233,28
396,202,180
810,35,209
621,631,0
371,164,6
49,77,24
588,189,5
381,419,616
93,832,4
106,42,60
528,634,8
292,33,20
311,312,4
785,837,6
285,832,8
791,277,18
917,72,7
95,59,9
615,493,224
726,541,76
195,563,9
304,571,147
143,733,18
194,341,72
206,831,33
483,758,84
834,146270,4
745,615,16
396,863,40
634,741,4
231,636,30
419,758,264
503,486,32
631,93,6
381,202,252
878,758,60
404,863,46
231,615,24
792,287,10
659,423,126
719,27687,14
763,475,35
567,888,24
680,63,11
422,394,28
76,170,9
813,863,2
680,364,99
512,17,25
922,534,5
202,234,108
527,758,240
402,163,10
111,285,24
157,673,18
522,726,152
598,730,4
613,745,6
137,755,99
525,861,100
745,489,14
75,525,80
145,342,16
39,444,3
207,398,2
813,398,2
95,431,10
402,238,10
573,392,70
722,404,92
755,740,54
791,737,2
361,285,4
145,856,1
274,296,36
26,571,315
317,87,2
311,758,12
46,831,21
157,275,6
567,404,184
775,27687,7
608,149,8
422,264,42
402,390,15
2521991,406,18
146270,285,8
713,49,8
309844,2521991,9
235,659,56
391,611,30
59,1,18
722,296,16
224,673,27
312,313,0
889,543,5
238,157,4
529,9,1
755,361,9
813,567,8
230,621,0
563,557,12
621,740,0
146270,721,24
613,518,18
206,852,66
92,85,26
459,557,4
447,143,9
44,547,48
242,304,0
609,275,9
242,536,0
852,143,18
748,2521991,2
572,362,28
795,609,9
136,2089740,28
342,143,48
25,556,420
309844,888,27
198,541,12
204,303,11
459,578,1
528,232,10
384,357,280
726,563,57
615,740,48
371,317,3
394,897,4
318,147,30
55,362,32
350,1,18
922,543,1
384,609,30
614,733,18
2521991,207,1
296,219,20
680,578,11
608,117,56
311,219,5
457,207,6
30,225,66
716,380,0
5,275,27
238,362,8
219,432,50
184,63,1
