u,v,GD
309844,384,-4
60,163,-3
87,72,-3
371,242,-4
106,414,-3
8,106,-2
87,307,-2
238,46,-3
371,71,-3
30,34,-2
121,1,-2
40,417,-3
92,55,-3
396,227,-3
87,316,-3
332,238,-3
191,147,-3
292,186,-3
76,277,-3
46,117,-2
115,264,-3
44,396,-4
357,308,-3
357,58,-3
402,204,-3
1,394,-2
115,25,-2
48,192,-3
102,373,-4
100,59,-3
414,170,-4
72,115,-2
152,37,-3
312,383,-2
77,271,-3
86,198,-3
308,230,-2
87,96,-3
40,2089740,-1
267,287,-3
307,83,-2
434,296,-4
157,257,-3
184,2089740,0
364,102,0
192,275,-3
242,224,0
205,264,-3
188,172,-3
414,81,-3
206,55,-2
380,232,-3
434,313,-3
395,414,-3
58,285,-3
17,172,-2
26,285,-3
231,163,-3
40,285,-3
136,234,-2
206,396,-3
225,92,-3
146270,72,-1
46,242,-3
232,35,-3
318,48,-2
340,372,-3
72,396,-3
285,143,-3
277,207,-4
428,106,-3
93,402,-2
152,87,-3
200,313,-3
340,316,-1
399,312,-2
428,292,-3
26,186,-3
1384652,206,-2
296,428,-4
50,72,-3
45,191,-4
102,22,-4
95,364,0
36,136,-3
243,81,-4
61,198,-2
95,422,-4
121,373,-2
383,39,-2
233,342,-4
410,86,-3
153,364,-4
111,313,-2
5,13,-3
71,173,-2
390,186,0
380,111,-1
292,434,-3
124,71,-2
60,116,-2
243,389,-4
67,371,-1
25,311,-4
238,280,-4
8,101,-3
246,71,-2
72,357,-4
280,277,-4
434,26,-2
349,238,-3
17,398,-4
123,51,-3
422,205,-3
50,422,-3
203,358,-2
170,137,-2
238,2,-4
198,267,-2
399,184,0
5,106,-2
92,340,-3
350,8,-3
55,394,-3
363,231,0
199,394,-3
303,224,0
1,152,-3
78,121,-3
246,198,-2
372,296,-2
58,358,-3
46,44,-4
63,50,-2
147,373,-2
219,390,0
121,216,-3
316,157,-3
200,328,-3
308,153,-3
267,1,-2
145,259,-4
318,157,-3
60,225,-3
95,257,-3
404,26,-3
394,163,-3
95,194,-3
122,9,-2
1,431,-3
303,71,-2
101,342,-4
246,332,-3
131,184,0
292,50,-2
422,136,-3
364,214,-4
389,242,-4
5,271,-3
384,369,-4
305,193,-3
1384652,87,-3
363,101,0
184,340,0
394,106,-3
341,173,-3
164,214,0
152,184,0
259,173,-3
101,100,-2
216,48,-2
59,2089740,-2
410,61,-2
232,214,-2
227,163,-3
152,136,-3
363,72,0
398,51,-4
373,267,-2
257,308,-3
116,377,-2
37,189,0
143,59,-2
2,307,-3
370,121,-3
102,49,-4
172,198,-2
304,193,-2
44,257,-4
243,147,-3
369,40,-2
85,193,-3
100,32,-3
234,349,-3
296,308,-3
195,72,-2
194,302,-4
173,106,-3
60,341,-3
8,146270,-3
369,417,-3
428,431,-4
2089740,363,0
340,77,-3
2,37,-4
61,383,-2
280,192,-2
153,316,-3
95,106,-3
267,87,-3
77,370,-3
48,395,-2
316,203,-2
332,372,-2
384,50,-4
198,296,-3
292,225,-3
342,271,-4
238,76,-3
172,100,-2
198,146270,-4
1384652,389,-3
136,225,-3
380,42,-3
394,40,-3
149,172,-2
383,431,-3
277,204,-3
292,332,-3
147,230,-2
318,358,-3
2089740,372,-3
287,161,0
76,332,-3
35,292,-2
164,9,0
307,242,-3
49,311,-3
195,25,-2
312,85,-3
428,414,-3
81,396,-4
340,285,-3
122,390,0
1,116,-2
37,246,-3
316,153,-3
395,32,-2
115,394,-3
214,227,-3
102,147,-4
257,259,-4
25,170,-2
34,81,-3
307,246,-2
422,71,-3
200,394,-3
51,342,-4
332,87,-2
377,96,-3
124,2089740,-3
383,189,-4
233,313,-3
76,380,-3
275,192,-3
304,1384652,-2
410,225,-3
232,414,-4
266,86,-3
51,399,-4
230,328,-3
194,34,-3
1,30,-2
384,259,0
398,17,-4
377,87,-3
242,311,-4
117,204,-1
60,39,-2
357,267,-3
340,312,-2
72,370,-3
414,302,-2
26,304,-3
92,8,-3
111,51,-1
302,292,-3
246,414,-3
269,81,-2
390,71,0
40,422,-2
364,234,-2
266,242,-3
410,207,-4
2089740,193,-2
316,95,-3
116,145,-2
431,42,-4
157,83,-3
275,350,-2
123,384,0
363,205,0
145,287,-3
5,95,-3
159,106,-3
373,383,-2
46,214,-3
363,25,0
137,271,-2
2089740,46,-2
404,242,-4
264,233,-3
78,384,0
143,373,-1
225,78,-3
191,77,-4
17,370,-3
5,332,-2
192,332,-2
417,358,-3
102,2089740,-3
398,350,-4
191,32,-2
206,192,-3
384,340,-4
93,61,-2
428,316,-2
312,149,-2
304,238,-3
2089740,304,-3
37,205,-3
111,227,-2
5,257,-3
377,302,-4
77,115,-3
308,311,-3
231,93,-2
42,188,-3
259,414,-4
313,332,-4
230,370,-3
271,85,-4
292,36,-3
51,417,-3
81,266,-3
92,203,-3
30,350,-2
422,95,-4
399,93,-4
136,277,-3
267,34,-2
188,285,-4
318,67,-4
364,117,-3
313,358,-3
224,357,0
285,33,-4
35,116,-2
1384652,203,-2
77,428,-3
194,380,-3
431,302,-4
266,147,-3
309844,188,-4
316,198,-2
186,17,-3
93,257,-2
131,271,-3
116,96,-2
402,238,-3
143,67,-3
37,9,-4
188,86,-3
342,76,-4
39,71,-2
1,377,-3
116,55,-2
349,269,-3
67,206,-2
358,100,-3
60,394,-3
225,145,-3
143,78,-3
92,341,-2
394,305,-3
146270,51,-3
67,191,-2
36,216,-3
136,369,-2
394,309844,-3
149,101,-2
91,302,-2
198,203,-2
296,204,-3
404,13,-4
145,233,-3
58,2089740,-2
37,172,-3
192,402,-2
45,206,-4
32,304,-3
33,48,-3
364,37,0
304,25,-2
42,309844,-4
332,275,-4
2,395,-3
48,77,-3
152,287,-4
44,394,-4
266,85,-3
116,33,-3
78,364,0
231,363,0
191,145,-3
414,61,-3
45,96,-4
404,396,-3
193,307,-1
242,67,-4
428,188,-4
67,342,-4
384,372,0
192,422,-4
191,371,-3
219,117,-3
402,227,-2
48,292,-1
242,186,-3
341,191,-4
33,1384652,-2
67,402,-3
1,225,-3
232,266,-3
332,395,-3
238,91,-2
313,414,-4
13,257,-3
193,101,-3
22,163,0
342,163,0
87,259,-4
307,173,-2
186,72,-2
36,404,-3
266,157,-3
384,42,0
101,22,-4
203,311,-3
304,389,-4
398,9,0
431,131,-3
60,46,-2
173,194,-3
234,101,-3
340,292,-2
271,39,-2
383,51,-2
13,357,-4
311,417,-4
200,340,-1
394,100,-3
275,234,-3
277,40,-2
1,36,-3
216,194,-3
189,51,-4
372,200,-2
131,224,0
189,5,0
161,34,-3
96,72,-3
304,216,-4
371,121,-3
149,304,-3
50,91,-1
72,13,-3
87,269,-2
55,207,-4
389,163,-4
145,369,-3
357,383,-3
147,121,-3
106,377,-2
234,149,-3
100,308,-2
332,198,-2
396,292,-3
271,410,-3
161,137,-4
55,404,-3
206,32,-1
231,349,-2
44,404,0
122,231,-3
371,172,-2
149,313,-3
136,124,-2
214,266,-3
191,285,-4
369,164,0
136,238,-3
59,357,-3
205,157,-3
106,234,-2
1384652,186,-3
275,372,-2
227,46,-2
198,292,-2
58,207,-3
402,5,-2
198,143,-2
93,309844,-3
91,384,-3
414,242,-3
312,371,-3
157,227,-3
316,312,-2
100,48,-2
234,264,-3
257,172,-3
313,233,-3
58,312,-2
266,192,-3
111,303,-2
157,92,-2
30,60,-2
93,312,-2
83,49,-2
137,91,-1
100,417,-3
370,173,-3
189,309844,0
313,170,-3
307,200,-2
101,1,-2
61,350,-3
72,34,-2
184,59,0
149,137,-2
35,304,-3
86,398,0
328,61,-3
60,358,-3
233,131,-2
100,72,-3
257,173,-3
302,312,-3
371,77,-3
200,266,-2
81,395,-4
280,257,-4
271,195,-3
312,78,-3
25,164,0
243,296,-4
216,372,-3
206,58,-2
131,377,-3
123,2089740,-3
92,86,-2
95,216,-2
231,184,0
308,87,-2
36,188,-2
422,117,-4
285,303,-3
173,93,-2
143,45,-3
83,341,-3
63,46,-2
304,116,-3
206,246,-2
36,17,-2
100,1,-2
434,163,-4
373,340,-2
48,60,-2
205,76,-2
159,2,-4
395,231,-3
308,157,-3
383,55,-2
414,71,-3
431,1,-3
431,434,-4
101,384,-4
302,431,-4
259,328,0
204,163,-4
328,203,-3
49,341,-3
364,32,-3
164,394,0
78,207,-4
117,275,-3
45,46,-3
153,137,-3
55,204,-3
316,269,-3
206,371,-2
369,71,-2
227,372,-3
96,309844,-3
380,308,-3
33,313,-3
63,159,-4
106,102,-2
2,312,-3
377,194,-2
117,81,-2
311,193,-4
364,85,-4
161,259,0
8,350,-3
342,230,-4
428,51,-3
102,285,0
292,51,-2
46,219,-3
227,92,-3
390,136,0
35,312,-1
275,102,-4
398,396,0
49,26,-2
59,58,-1
358,364,-1
309844,58,-3
380,35,-3
434,71,-3
131,246,-2
224,304,0
199,17,-2
67,188,-3
93,242,-3
191,95,-4
22,157,-3
349,296,-3
48,39,-2
305,42,-2
131,102,-4
77,383,-3
275,302,-4
55,410,-3
296,61,-3
242,267,-3
146270,121,-4
184,383,0
195,404,-4
93,17,-2
431,349,-3
9,34,-2
311,198,-3
357,277,-4
131,45,-4
77,5,-3
111,417,-3
147,305,-4
184,216,0
95,332,-3
417,145,-4
214,95,-3
313,269,-3
194,364,-4
214,198,-3
396,267,-3
77,207,-4
13,1384652,-3
350,36,-3
115,35,-3
199,332,-3
370,342,-2
100,77,-3
307,377,-2
428,364,-4
384,349,-4
309844,349,-3
192,184,0
357,192,-4
350,399,-4
308,422,-3
159,157,-4
285,307,-3
67,377,-3
292,377,-3
8,396,-4
243,318,-3
45,383,-3
13,95,-3
111,275,-2
26,32,-3
267,394,-3
364,259,-3
224,364,0
342,417,0
117,170,-2
308,161,-4
234,117,-1
161,36,-4
303,100,-2
205,231,-2
30,195,-3
152,246,-3
428,349,-3
422,17,-3
350,287,-3
307,195,-3
206,233,-2
147,371,-4
216,399,-4
59,318,-3
307,122,-2
147,137,-3
266,203,-2
86,305,-2
206,186,-2
163,422,-4
13,417,-4
246,25,-3
396,170,-3
153,194,-4
242,1384652,-3
55,25,-2
328,46,-2
22,264,-4
203,305,-3
257,35,-3
232,17,-3
371,246,-3
358,200,-3
149,22,-4
404,318,-4
32,349,-3
304,2089740,-3
214,149,-3
147,48,-3
146270,304,-4
395,145,-4
102,191,-3
308,302,-3
318,350,-3
60,234,-3
72,184,0
369,313,-3
225,59,-2
13,233,-2
152,303,-3
86,372,-4
219,434,-3
93,219,-3
159,35,-3
358,189,0
147,390,0
369,83,-1
60,188,-3
121,198,-2
2089740,117,-1
55,308,-2
106,116,-1
81,48,-3
17,311,-3
399,117,-3
304,214,-1
328,145,-4
192,205,-1
61,219,-3
307,22,-3
58,377,-2
2,246,-3
5,280,-3
95,39,-3
431,246,-3
342,36,-4
369,136,-2
63,357,-4
259,25,-3
172,309844,-3
341,61,-4
124,230,-4
136,364,-4
296,32,-4
349,2,-3
417,153,-4
370,216,-4
92,124,-4
2,417,-4
287,383,-3
5,87,-2
35,207,-4
2089740,277,-3
76,92,-3
234,92,-2
350,106,-2
370,198,-3
33,61,-2
13,22,-4
431,238,-4
188,389,-3
106,296,-1
1,312,-2
350,372,-2
267,63,-3
161,396,0
271,146270,-4
2,121,-3
39,230,-2
186,230,-3
96,123,-3
316,173,-2
2,106,-3
81,383,-3
267,92,-2
363,370,0
328,51,-2
60,83,-2
143,2,-3
153,49,-2
398,61,0
188,2,-4
157,2089740,-1
106,164,0
131,36,-3
303,45,-4
371,204,-2
145,398,0
136,39,-2
145,308,-3
395,370,-4
55,396,-3
224,145,0
292,100,-2
63,5,-4
121,137,-2
349,271,-3
370,39,-3
305,311,-4
149,91,-1
72,350,-2
42,414,-4
22,149,-4
63,371,-3
193,232,-3
431,164,0
101,163,-3
224,60,-4
50,8,-3
26,350,-1
9,2089740,-3
115,225,-3
170,238,-4
204,305,-2
192,93,-2
398,116,-4
431,123,-4
78,85,-2
1,76,-2
172,87,-1
431,146270,0
131,372,-3
198,172,-2
111,203,-2
124,246,-3
91,394,-2
390,37,0
9,122,-2
101,45,-4
292,389,-3
48,61,-3
364,373,-3
59,234,-3
402,384,-4
61,389,-3
71,195,-3
404,384,-4
95,35,-2
434,269,-3
316,200,-2
106,285,-3
26,115,-3
194,39,-2
292,111,-2
51,304,-2
275,76,-3
266,2089740,-3
50,35,-2
164,371,0
40,78,-2
55,395,-3
48,410,-3
311,313,-4
25,91,-2
364,313,-4
1384652,364,-3
95,232,-4
67,410,-4
377,404,-3
363,137,0
72,373,-3
414,384,0
307,267,-2
13,311,-4
67,216,-4
45,269,-3
170,173,-3
349,318,-4
184,328,0
1384652,243,-3
116,380,-1
161,26,-4
32,434,-3
42,81,-4
313,341,-4
39,296,-3
122,233,-3
389,184,0
275,152,-4
394,45,-4
124,303,-3
350,377,-3
205,173,-2
95,170,-4
434,390,0
36,37,-3
398,214,0
216,77,-2
266,59,-3
313,275,-2
48,124,-3
398,308,-4
266,318,-4
149,257,-3
377,60,-3
390,157,0
318,117,-1
233,121,-2
172,81,-3
287,58,-2
159,275,-3
173,369,-2
9,145,-3
106,216,-2
380,227,-3
33,67,-3
269,78,-3
234,71,-2
303,238,-3
45,100,-4
402,137,-2
122,30,-2
35,257,-3
83,189,-4
146270,2089740,-3
186,246,-3
173,313,-2
153,36,-4
153,277,-4
234,266,-3
309844,143,-3
358,219,-3
205,307,-2
271,111,-3
30,164,0
60,264,-3
233,304,-3
383,17,-1
1,85,-2
219,275,-4
49,349,-2
39,198,-2
342,373,-4
303,58,-2
111,55,-2
271,35,-3
395,364,-4
100,78,-3
342,95,0
399,188,-4
232,231,-3
206,161,-4
193,296,-3
292,131,-2
350,328,-4
34,402,-2
1,115,-3
328,85,-4
194,115,-2
225,106,-2
45,243,-4
55,49,-2
146270,302,-3
59,122,-2
13,259,-4
44,246,-4
37,242,-3
91,92,-2
170,313,-3
115,414,-3
219,45,-4
111,207,-4
275,123,-3
184,311,0
102,101,-4
63,399,0
173,398,-4
370,267,-3
121,87,-3
2089740,45,-4
67,60,-3
224,216,0
233,287,-3
170,227,-3
1,143,-2
161,277,0
242,8,-4
275,369,-3
277,369,-3
95,198,-3
100,116,-2
431,233,-3
42,192,-2
431,357,-4
264,36,-4
394,85,-3
395,48,-2
259,83,-3
357,394,-4
13,308,-3
42,193,-2
287,39,-3
203,205,-2
371,93,-3
225,48,-3
5,243,-3
147,316,-3
59,95,-3
170,257,-3
145,30,-3
271,13,-3
369,72,-3
238,63,-4
76,164,0
304,145,-2
231,116,-2
163,192,-4
26,399,-3
58,26,-1
357,1384652,-3
350,33,-2
232,277,-3
106,357,-4
101,173,-2
203,214,-3
106,428,-3
25,232,-3
233,404,-4
173,146270,-3
33,106,-2
45,189,0
153,117,-3
1384652,45,-3
136,243,-2
396,2089740,-3
137,106,-2
2089740,373,-3
2089740,316,-2
49,230,-3
216,206,-3
77,42,-3
303,13,-2
136,13,-2
116,195,-2
173,410,-4
36,106,-3
357,55,-3
230,188,-2
206,194,-2
60,40,-2
186,188,-4
309844,224,0
232,32,-2
311,370,-3
93,264,-3
188,194,-2
342,395,0
313,145,-3
77,280,-4
152,292,-3
100,206,-2
431,205,-3
159,83,-3
26,2,-3
264,194,-4
332,145,-3
83,76,-2
85,188,-4
371,46,-3
55,371,-3
207,341,-4
275,313,-2
35,131,-2
216,402,-3
259,137,-4
304,22,-4
195,37,-3
238,242,-4
225,341,-4
101,227,-2
342,117,-4
230,2,-3
30,149,-2
48,230,-2
121,277,-3
59,100,-3
9,85,-3
61,37,-2
137,37,-2
373,72,-3
410,49,-3
42,307,-3
173,377,-3
163,145,-4
394,410,-3
280,186,-4
96,63,-4
216,96,-3
313,216,-3
189,32,-4
124,267,-3
157,22,-3
72,422,-4
292,49,-2
342,194,-4
238,51,-3
157,77,-4
76,191,-3
149,204,-3
83,434,-3
203,307,-2
45,85,-4
131,22,-3
116,192,-2
191,193,-4
55,1384652,-2
124,48,-3
147,91,-2
131,124,-3
39,227,-2
131,115,-3
390,76,0
417,122,-3
157,60,-3
83,145,-3
145,318,-3
199,363,0
238,207,-2
214,123,-3
224,225,-4
227,17,-2
145,33,-4
194,398,0
194,22,-3
92,383,-3
186,117,-2
311,224,0
363,32,0
143,147,-3
242,340,-3
304,357,-4
231,396,-3
13,173,-3
340,307,-2
434,131,-3
395,199,-3
206,417,-3
383,93,-2
85,312,-3
205,102,-2
308,194,-2
78,313,-4
173,309844,-3
67,434,-4
434,1384652,-3
242,234,-4
42,316,-3
87,369,-2
264,377,-3
124,311,-4
30,269,-2
428,233,-3
271,234,-2
373,304,-2
111,280,-2
32,285,-3
86,342,-4
230,122,-2
205,67,-3
342,390,0
48,50,-2
357,231,-3
30,42,-3
394,51,-3
124,123,-4
44,37,0
123,116,-3
72,234,-2
85,373,-3
373,173,-2
328,292,-2
304,39,-3
51,147,-2
363,271,0
296,149,-2
48,8,-3
87,22,-3
316,55,-2
332,370,-4
350,404,-3
85,219,-3
117,302,-3
275,287,-4
39,380,-2
198,121,-2
152,58,-3
231,101,-2
39,78,-3
305,384,0
269,395,-2
199,192,-3
13,87,-3
205,242,-3
402,232,-3
328,417,-4
149,303,-2
45,431,0
349,264,-3
396,163,-4
186,146270,-3
100,123,-3
122,115,-1
115,357,-4
44,296,-4
117,44,-3
173,199,-2
194,51,-3
205,234,-3
61,1,-3
49,161,-3
349,404,-4
136,83,-2
227,431,-3
194,214,-4
390,63,0
232,431,-4
269,163,-4
377,8,-3
316,404,-4
188,309844,-4
115,380,-2
83,131,-2
410,2,-4
146270,242,-4
136,340,-2
131,1384652,-1
143,1384652,-2
161,373,-3
106,86,-3
311,55,-3
233,285,-3
161,307,-3
230,277,-3
193,147,-2
402,371,-3
143,363,0
414,93,-3
266,296,-3
32,267,-3
58,42,-1
58,371,-2
316,5,-2
13,395,-3
164,219,0
30,227,-2
199,33,-3
122,184,0
303,266,-2
152,296,-4
63,232,-3
332,34,-2
266,280,-3
51,227,-2
2,316,-3
216,111,-3
146270,267,-4
246,271,-3
264,131,-2
238,36,-3
316,161,-4
50,58,-2
30,100,-2
214,296,-3
152,369,-3
287,242,-4
87,172,-1
13,304,-3
30,257,-3
58,313,-2
259,431,0
159,292,-3
59,1,-3
203,193,-2
93,81,-2
309844,342,0
152,2,-4
370,269,-4
280,117,-3
36,275,-4
26,267,-2
207,36,-4
159,204,-3
5,402,-2
8,399,-4
410,309844,-4
194,46,-1
357,50,-3
238,44,-4
431,157,-2
266,49,-2
216,30,-2
377,63,-3
292,153,-3
233,173,-2
342,137,-4
246,402,-2
275,164,0
422,384,0
35,67,-3
285,123,-4
100,373,-2
369,341,-3
39,44,-4
9,312,-3
369,199,-2
72,86,-2
172,308,-2
311,214,-4
40,63,-2
117,399,-3
243,67,-4
371,96,-3
414,192,-4
13,264,-4
417,63,-4
49,9,-3
358,234,-1
373,136,-1
164,308,0
227,39,-2
147,44,0
157,198,-2
106,396,-3
32,266,-3
42,231,-3
266,71,-2
364,34,-4
238,394,-4
214,116,-2
369,257,-3
206,93,-2
204,193,-3
390,234,0
59,172,-3
25,71,-2
230,33,-2
349,390,0
428,398,-4
59,61,-1
398,117,0
72,44,-4
33,189,0
26,172,-2
243,422,-4
204,383,-2
394,93,-3
91,189,-4
17,417,-3
116,2089740,-1
373,370,-3
207,313,-4
13,67,-2
48,164,0
302,199,-2
1,203,-2
76,204,-3
205,417,-3
194,8,-3
153,233,-3
26,45,-3
224,35,-4
186,172,-3
316,328,-4
396,216,-3
191,296,-4
328,285,0
195,267,-2
72,67,-3
61,307,-2
214,242,-4
58,77,-2
257,219,-4
2,207,-4
164,398,0
188,101,-2
332,32,-3
46,2089740,-2
45,340,-4
383,384,-2
36,225,-3
205,422,-3
61,50,-1
131,231,-2
342,267,-4
26,8,-3
232,92,-3
195,152,-4
34,92,-3
72,243,-2
377,85,-3
269,225,-2
46,198,-2
399,48,-4
398,394,0
147,131,-3
225,63,-3
269,357,-4
152,193,-3
232,164,0
257,163,-4
224,2089740,-4
106,22,-4
422,275,-4
395,224,0
163,44,0
2089740,404,-3
101,9,-3
232,42,-3
8,296,-3
72,303,-3
60,292,-2
230,204,-2
243,404,-4
307,67,-3
316,163,-3
131,8,-3
124,51,-3
49,369,-2
59,106,-2
417,206,-3
102,1,-4
86,121,-3
76,422,-3
48,372,-3
50,233,-2
308,189,-4
50,384,-4
60,372,-3
93,357,-3
311,143,-3
34,49,-2
277,2,-4
48,227,-2
399,232,-4
371,63,-3
92,48,-2
396,340,-3
45,192,-3
307,159,-3
63,199,-3
238,26,-3
35,124,-3
311,189,0
159,173,-3
308,402,-2
13,60,-3
280,63,-4
186,363,0
147,51,-2
92,36,-2
102,77,-4
93,232,-3
394,111,-3
227,161,-4
200,123,-3
193,224,-4
8,81,-4
131,76,-2
390,145,0
161,5,-4
398,316,-2
95,396,-3
2089740,13,-2
51,161,-3
117,100,-3
266,434,-3
146270,234,-3
44,5,-3
275,149,-3
35,26,-1
341,117,-3
267,227,-2
111,33,-2
434,259,-4
22,364,-4
67,152,-4
40,193,-2
39,332,-2
193,46,-3
316,45,-4
26,17,-2
193,136,-1
2,373,-3
277,363,0
9,205,-3
86,410,-3
214,44,-4
225,198,-3
275,206,-3
341,372,-4
2089740,203,-3
61,205,-3
242,277,-3
34,184,0
316,50,-2
50,428,-3
198,1384652,-2
194,2,-2
316,230,-3
417,124,-4
111,76,-2
341,364,-4
309844,147,-4
63,55,-2
157,358,-2
101,86,-3
184,170,0
111,195,-2
13,191,-4
305,60,-2
233,55,-2
122,395,-3
100,159,-3
431,37,-4
159,434,-4
205,91,-1
117,370,-3
198,101,-2
157,380,-2
172,395,-3
373,402,-2
259,216,-4
230,59,-2
285,205,-3
146270,93,-3
231,149,-2
40,431,-3
40,34,-2
243,332,-4
184,100,0
328,67,-3
243,25,-3
318,92,-2
238,390,0
280,131,-3
184,152,0
259,59,-4
198,188,-3
92,264,-3
32,206,-1
122,370,-4
1,106,-3
214,312,-3
242,91,-2
186,78,-4
143,287,-3
123,195,-3
46,224,-3
311,13,-4
316,266,-2
164,200,0
30,152,-3
106,264,-2
199,193,-2
35,33,-1
78,131,-3
13,76,-3
45,390,0
71,147,-3
50,92,-2
307,35,-2
204,372,-3
115,33,-3
238,5,-3
91,60,-1
30,25,-3
86,350,-3
269,61,-2
308,371,-3
143,234,-3
227,1,-2
58,76,-2
313,93,-1
230,302,-3
404,394,-3
50,341,-3
191,232,-2
45,428,-3
34,111,-1
269,106,-2
36,131,-3
394,369,-3
271,308,-3
72,173,-2
8,328,-4
192,116,-2
153,303,-3
192,383,-1
308,246,-2
389,159,-4
117,414,-3
349,92,-3
157,115,-1
396,22,0
116,311,-3
402,173,-2
45,102,-4
92,13,-3
305,192,-2
117,147,-3
341,51,-3
243,434,-4
46,189,0
61,271,-3
307,302,-2
30,161,-3
206,402,-2
285,48,-3
313,83,-3
266,163,-3
1384652,117,-2
116,275,-3
184,349,0
1384652,159,-3
163,307,-3
78,277,-3
204,203,-3
242,384,-4
292,188,-3
296,243,-4
48,402,-2
85,60,-3
