u,v,CN
131,377,0
123,2089740,0
92,86,1
95,216,1
231,184,0
308,87,1
36,188,1
422,117,0
285,303,0
173,93,1
143,45,0
83,341,0
63,46,1
304,116,0
206,246,1
36,17,1
100,1,1
434,163,0
373,340,2
48,60,4
205,76,1
159,2,0
395,231,0
308,157,0
383,55,2
414,71,0
431,1,0
431,434,0
101,384,0
302,431,0
259,328,0
204,163,0
328,203,0
49,341,0
364,32,0
164,394,0
78,207,0
117,275,0
45,46,0
153,137,0
55,204,0
316,269,0
206,371,1
369,71,1
227,372,0
96,309844,0
380,308,0
33,313,0
63,159,0
106,102,1
2,312,0
377,194,1
117,81,1
311,193,0
364,85,0
161,259,0
8,350,0
342,230,0
428,51,0
102,285,0
292,51,1
46,219,0
227,92,0
390,136,0
35,312,1
275,102,0
398,396,0
49,26,2
59,58,3
358,364,0
309844,58,0
380,35,0
434,71,0
131,246,1
224,304,0
199,17,3
67,188,0
93,242,0
191,95,0
22,157,0
349,296,0
48,39,2
305,42,1
131,102,0
77,383,0
275,302,0
55,410,0
296,61,0
242,267,0
146270,121,0
184,383,0
195,404,0
93,17,1
431,349,0
9,34,1
311,198,0
357,277,0
131,45,0
77,5,0
111,417,0
147,305,0
184,216,0
95,332,0
417,145,0
214,95,0
313,269,0
194,364,0
214,198,0
396,267,0
77,207,0
13,1384652,0
350,36,0
115,35,0
199,332,0
370,342,1
100,77,0
307,377,2
428,364,0
384,349,0
309844,349,0
192,184,0
357,192,0
350,399,0
308,422,0
159,157,0
285,307,0
67,377,0
292,377,0
8,396,0
243,318,0
45,383,0
13,95,0
111,275,1
26,32,0
267,394,0
364,259,0
224,364,0
342,417,0
117,170,1
308,161,0
234,117,1
161,36,0
303,100,1
205,231,1
30,195,0
152,246,0
428,349,0
422,17,0
350,287,0
307,195,0
206,233,1
147,371,0
216,399,0
59,318,0
307,122,2
147,137,0
266,203,1
86,305,1
206,186,1
163,422,0
13,417,0
246,25,0
396,170,0
153,194,0
242,1384652,0
55,25,2
328,46,1
22,264,0
203,305,0
257,35,0
232,17,0
371,246,0
358,200,0
149,22,0
404,318,0
32,349,0
304,2089740,0
214,149,0
147,48,0
146270,304,0
395,145,0
102,191,0
308,302,0
318,350,0
60,234,0
72,184,0
369,313,0
225,59,1
13,233,1
152,303,0
86,372,0
219,434,0
93,219,0
159,35,0
358,189,0
147,390,0
369,83,1
60,188,0
121,198,1
2089740,117,2
55,308,1
106,116,0
81,48,0
17,311,0
399,117,0
304,214,0
328,145,0
192,205,0
61,219,0
307,22,0
58,377,2
2,246,0
5,280,0
95,39,0
431,246,0
342,36,0
369,136,1
63,357,0
259,25,0
172,309844,0
341,61,0
124,230,0
136,364,0
296,32,0
349,2,0
417,153,0
370,216,0
92,124,0
2,417,0
287,383,0
5,87,1
35,207,0
2089740,277,0
76,92,0
234,92,1
350,106,1
370,198,0
33,61,1
13,22,0
431,238,0
188,389,0
106,296,0
1,312,1
350,372,1
267,63,0
161,396,0
271,146270,0
2,121,0
39,230,1
186,230,0
96,123,0
316,173,1
2,106,0
81,383,0
267,92,1
363,370,0
328,51,1
60,83,2
143,2,0
153,49,1
398,61,0
188,2,0
157,2089740,1
106,164,0
131,36,0
303,45,0
371,204,1
145,398,0
136,39,2
145,308,0
395,370,0
55,396,0
224,145,0
292,100,1
63,5,0
121,137,1
349,271,0
370,39,0
305,311,0
149,91,1
72,350,1
42,414,0
22,149,0
63,371,0
193,232,0
431,164,0
101,163,0
224,60,0
50,8,0
26,350,1
9,2089740,0
115,225,0
170,238,0
204,305,1
192,93,2
398,116,0
431,123,0
78,85,1
1,76,1
172,87,0
431,146270,0
131,372,0
198,172,1
111,203,2
124,246,0
91,394,1
390,37,0
9,122,2
101,45,0
292,389,0
48,61,0
364,373,0
59,234,0
402,384,0
61,389,0
71,195,0
404,384,0
95,35,2
434,269,0
316,200,2
106,285,0
26,115,0
194,39,1
292,111,1
51,304,2
275,76,0
266,2089740,0
50,35,1
164,371,0
40,78,1
55,395,0
48,410,0
311,313,0
25,91,6
364,313,0
1384652,364,0
95,232,0
67,410,0
377,404,0
363,137,0
72,373,0
414,384,0
307,267,2
13,311,0
67,216,0
45,269,0
170,173,0
349,318,0
184,328,0
1384652,243,0
116,380,0
161,26,0
32,434,0
42,81,0
313,341,0
39,296,0
122,233,0
389,184,0
275,152,0
394,45,0
124,303,0
350,377,0
205,173,2
95,170,0
434,390,0
36,37,0
398,214,0
216,77,1
266,59,0
313,275,2
48,124,0
398,308,0
266,318,0
149,257,0
377,60,0
390,157,0
318,117,0
233,121,1
172,81,0
287,58,1
159,275,0
173,369,1
9,145,0
106,216,1
380,227,0
33,67,0
269,78,0
234,71,1
303,238,0
45,100,0
402,137,1
122,30,2
35,257,0
83,189,0
146270,2089740,0
186,246,0
173,313,1
153,36,0
153,277,0
234,266,0
309844,143,0
358,219,0
205,307,1
271,111,0
30,164,0
60,264,0
233,304,0
383,17,1
1,85,1
219,275,0
49,349,1
39,198,1
342,373,0
303,58,1
111,55,3
271,35,0
395,364,0
100,78,0
342,95,0
399,188,0
232,231,0
206,161,0
193,296,0
292,131,1
350,328,0
34,402,2
1,115,0
328,85,0
194,115,1
225,106,2
45,243,0
55,49,3
146270,302,0
59,122,1
13,259,0
44,246,0
37,242,0
91,92,2
170,313,0
115,414,0
219,45,0
111,207,0
275,123,0
184,311,0
102,101,0
63,399,0
173,398,0
370,267,0
121,87,0
2089740,45,0
67,60,0
224,216,0
233,287,0
170,227,0
1,143,1
161,277,0
242,8,0
275,369,0
277,369,0
95,198,0
100,116,1
431,233,0
42,192,1
431,357,0
264,36,0
394,85,0
395,48,2
259,83,0
357,394,0
13,308,0
42,193,1
287,39,0
203,205,1
371,93,0
225,48,0
5,243,0
147,316,0
59,95,0
170,257,0
145,30,0
271,13,0
369,72,0
238,63,0
76,164,0
304,145,1
231,116,1
163,192,0
26,399,0
58,26,4
357,1384652,0
350,33,1
232,277,0
106,357,0
101,173,1
203,214,0
106,428,0
25,232,0
233,404,0
173,146270,0
33,106,2
45,189,0
153,117,0
1384652,45,0
136,243,1
396,2089740,0
137,106,1
2089740,373,0
2089740,316,1
49,230,0
216,206,0
77,42,0
303,13,1
136,13,2
116,195,1
173,410,0
36,106,0
357,55,0
230,188,1
206,194,1
60,40,3
186,188,0
309844,224,0
232,32,1
311,370,0
93,264,0
188,194,1
342,395,0
313,145,0
77,280,0
152,292,0
100,206,1
431,205,0
159,83,0
26,2,0
264,194,0
332,145,0
83,76,1
85,188,0
371,46,0
55,371,0
207,341,0
275,313,2
35,131,1
216,402,0
259,137,0
304,22,0
195,37,0
238,242,0
225,341,0
101,227,1
342,117,0
230,2,0
30,149,2
48,230,1
121,277,0
59,100,0
9,85,0
61,37,1
137,37,1
373,72,0
410,49,0
42,307,0
173,377,0
163,145,0
394,410,0
280,186,0
96,63,0
216,96,0
313,216,0
189,32,0
124,267,0
157,22,0
72,422,0
292,49,1
342,194,0
238,51,0
157,77,0
76,191,0
149,204,0
83,434,0
203,307,2
45,85,0
131,22,0
116,192,2
191,193,0
55,1384652,2
124,48,0
147,91,3
131,124,0
39,227,1
131,115,0
390,76,0
417,122,0
157,60,0
83,145,0
145,318,0
199,363,0
238,207,1
214,123,0
224,225,0
227,17,1
145,33,0
194,398,0
194,22,0
92,383,0
186,117,1
311,224,0
363,32,0
143,147,0
242,340,0
304,357,0
231,396,0
13,173,0
340,307,2
434,131,0
395,199,0
206,417,0
383,93,2
85,312,0
205,102,1
308,194,1
78,313,0
173,309844,0
67,434,0
434,1384652,0
242,234,0
42,316,0
87,369,1
264,377,0
124,311,0
30,269,1
428,233,0
271,234,1
373,304,1
111,280,1
32,285,0
86,342,0
230,122,1
205,67,0
342,390,0
48,50,1
357,231,0
30,42,0
394,51,0
124,123,0
44,37,0
123,116,0
72,234,2
85,373,0
373,173,1
328,292,1
304,39,0
51,147,1
363,271,0
296,149,1
48,8,0
87,22,0
316,55,1
332,370,0
350,404,0
85,219,0
117,302,0
275,287,0
39,380,1
198,121,1
152,58,0
231,101,1
39,78,0
305,384,0
269,395,1
199,192,0
13,87,0
205,242,0
402,232,0
328,417,0
149,303,1
45,431,0
349,264,0
396,163,0
186,146270,0
100,123,0
122,115,1
115,357,0
44,296,0
117,44,0
173,199,1
194,51,0
205,234,0
61,1,0
49,161,0
349,404,0
136,83,2
227,431,0
194,214,0
390,63,0
232,431,0
269,163,0
377,8,0
316,404,0
188,309844,0
115,380,1
83,131,1
410,2,0
146270,242,0
136,340,1
131,1384652,1
143,1384652,1
161,373,0
106,86,0
311,55,0
233,285,0
161,307,0
230,277,0
193,147,1
402,371,0
143,363,0
414,93,0
266,296,0
32,267,0
58,42,0
58,371,1
316,5,1
13,395,0
164,219,0
30,227,1
199,33,0
122,184,0
303,266,1
152,296,0
63,232,0
332,34,1
266,280,0
51,227,3
2,316,0
216,111,0
146270,267,0
246,271,0
264,131,1
238,36,0
316,161,0
50,58,3
30,100,1
214,296,0
152,369,0
287,242,0
87,172,0
13,304,0
30,257,0
58,313,1
259,431,0
159,292,0
59,1,0
203,193,1
93,81,1
309844,342,0
152,2,0
370,269,0
280,117,0
36,275,0
26,267,1
207,36,0
159,204,0
5,402,1
8,399,0
410,309844,0
194,46,0
357,50,0
238,44,0
431,157,1
266,49,1
216,30,2
377,63,0
292,153,0
233,173,1
342,137,0
246,402,1
275,164,0
422,384,0
35,67,0
285,123,0
100,373,1
369,341,0
39,44,0
9,312,0
369,199,1
72,86,1
172,308,1
311,214,0
40,63,1
117,399,0
243,67,0
371,96,0
414,192,0
13,264,0
417,63,0
49,9,0
358,234,1
373,136,1
164,308,0
227,39,1
147,44,0
157,198,1
106,396,0
32,266,0
42,231,0
266,71,1
364,34,0
238,394,0
214,116,1
369,257,0
206,93,1
204,193,0
390,234,0
59,172,0
25,71,1
230,33,1
349,390,0
428,398,0
59,61,3
398,117,0
72,44,0
33,189,0
26,172,1
243,422,0
204,383,1
394,93,0
91,189,0
17,417,0
116,2089740,2
373,370,0
207,313,0
13,67,1
48,164,0
302,199,1
1,203,1
76,204,0
205,417,0
194,8,0
153,233,0
26,45,0
224,35,0
186,172,0
316,328,0
396,216,0
191,296,0
328,285,0
195,267,1
72,67,0
61,307,2
214,242,0
58,77,1
257,219,0
2,207,0
164,398,0
188,101,1
332,32,0
46,2089740,1
45,340,0
383,384,1
36,225,0
205,422,0
61,50,2
131,231,1
342,267,0
26,8,0
232,92,0
195,152,0
34,92,0
72,243,1
377,85,0
269,225,1
46,198,1
399,48,0
398,394,0
147,131,0
225,63,0
269,357,0
152,193,0
232,164,0
257,163,0
224,2089740,0
106,22,0
422,275,0
395,224,0
163,44,0
2089740,404,0
101,9,0
232,42,0
8,296,0
72,303,0
60,292,1
230,204,1
243,404,0
307,67,0
316,163,0
131,8,0
124,51,0
49,369,1
59,106,3
417,206,0
102,1,0
86,121,0
76,422,0
48,372,0
50,233,1
308,189,0
50,384,0
60,372,0
93,357,0
311,143,0
34,49,1
277,2,0
48,227,2
399,232,0
371,63,0
92,48,1
396,340,0
45,192,0
307,159,0
63,199,0
238,26,0
35,124,0
311,189,0
159,173,0
308,402,1
13,60,0
280,63,0
186,363,0
147,51,1
92,36,1
102,77,0
93,232,0
394,111,0
227,161,0
200,123,0
193,224,0
8,81,0
131,76,1
390,145,0
161,5,0
398,316,1
95,396,0
2089740,13,1
51,161,0
117,100,0
266,434,0
146270,234,0
44,5,0
275,149,0
35,26,3
341,117,0
267,227,2
111,33,1
434,259,0
22,364,0
67,152,0
40,193,2
39,332,1
193,46,0
316,45,0
26,17,2
193,136,0
2,373,0
277,363,0
9,205,0
86,410,0
214,44,0
225,198,0
275,206,0
341,372,0
2089740,203,0
61,205,0
242,277,0
34,184,0
316,50,1
50,428,0
198,1384652,1
194,2,1
316,230,0
417,124,0
111,76,1
341,364,0
309844,147,0
63,55,1
157,358,1
101,86,0
184,170,0
111,195,1
13,191,0
305,60,1
233,55,1
122,395,0
100,159,0
431,37,0
159,434,0
205,91,1
117,370,0
198,101,1
157,380,1
172,395,0
373,402,1
259,216,0
230,59,2
285,205,0
146270,93,0
231,149,1
40,431,0
40,34,4
243,332,0
184,100,0
328,67,0
243,25,0
318,92,1
238,390,0
280,131,0
184,152,0
259,59,0
198,188,0
92,264,0
32,206,0
122,370,0
1,106,0
214,312,0
242,91,2
186,78,0
143,287,0
123,195,0
46,224,0
311,13,0
316,266,1
164,200,0
30,152,0
106,264,1
199,193,1
35,33,0
78,131,0
13,76,0
45,390,0
71,147,0
50,92,1
307,35,3
204,372,0
115,33,0
238,5,0
91,60,3
30,25,0
86,350,0
269,61,3
308,371,0
143,234,0
227,1,2
58,76,1
313,93,0
230,302,0
404,394,0
50,341,0
191,232,1
45,428,0
34,111,3
269,106,3
36,131,0
394,369,0
271,308,0
72,173,1
8,328,0
192,116,2
153,303,0
192,383,1
308,246,1
389,159,0
117,414,0
349,92,0
157,115,0
396,22,0
116,311,0
402,173,1
45,102,0
92,13,0
305,192,1
117,147,0
341,51,0
243,434,0
46,189,0
61,271,0
307,302,1
30,161,0
206,402,1
285,48,0
313,83,0
266,163,0
1384652,117,2
116,275,0
184,349,0
1384652,159,0
163,307,0
78,277,0
204,203,0
242,384,0
292,188,0
296,243,0
48,402,1
85,60,0
2,1384652,0
422,5,0
152,398,0
389,230,0
233,123,0
34,44,0
123,49,0
34,371,1
410,157,0
377,313,0
86,192,1
96,414,0
163,372,0
117,95,2
203,60,1
269,193,1
59,389,1
369,350,1
85,205,0
9,1384652,0
25,219,1
370,25,0
124,280,0
308,358,1
431,26,0
410,39,1
309844,146270,0
26,161,0
371,342,0
372,203,0
234,17,1
275,205,1
383,266,1
49,42,0
303,341,0
370,115,0
246,377,0
39,357,0
340,404,0
370,146270,0
384,67,0
188,5,0
40,194,0
318,205,0
152,370,0
234,136,1
216,395,0
271,233,0
390,60,0
95,146270,1
45,51,0
143,37,0
305,115,0
357,101,1
280,159,0
63,48,0
194,232,0
414,224,0
1,25,2
259,46,0
389,102,0
313,8,0
2,67,0
389,390,0
45,231,1
350,296,0
117,198,0
266,45,0
370,116,0
243,309844,0
26,340,2
318,332,0
83,2089740,3
146270,2,0
230,402,0
2089740,308,0
238,100,0
147,96,0
63,60,0
153,271,0
1,328,0
311,33,0
266,61,0
292,25,0
318,122,1
77,8,0
164,44,0
60,369,1
396,195,0
61,308,0
402,117,1
349,5,1
42,332,0
219,227,1
13,184,0
172,328,0
231,414,0
242,55,0
328,33,0
184,124,0
199,231,1
111,377,0
216,232,0
207,307,0
111,192,2
206,25,0
61,232,0
91,372,3
159,231,0
389,42,0
200,87,1
9,369,0
95,357,0
32,384,0
36,233,0
192,111,2
157,152,1
259,307,0
34,246,1
398,230,0
36,402,0
243,172,0
78,242,0
102,414,0
313,434,0
146270,61,0
384,277,0
184,39,0
100,275,0
417,78,0
33,96,0
146270,124,0
422,232,0
234,36,0
26,72,2
93,369,1
67,2089740,0
44,123,0
207,91,0
173,264,1
93,195,1
170,302,0
117,143,0
45,137,0
370,102,0
49,152,0
92,224,0
1384652,200,3
399,364,0
137,431,0
95,389,0
46,48,2
78,395,0
1384652,32,0
305,216,0
116,349,1
149,225,0
271,95,0
124,371,0
95,302,0
199,232,0
161,121,0
302,189,0
39,199,2
147,216,1
214,233,0
216,193,1
358,303,0
59,417,0
5,34,1
350,81,0
396,188,0
117,259,0
377,40,1
383,195,1
117,402,1
55,83,2
77,33,0
83,60,2
192,58,2
342,116,0
164,85,0
170,342,0
205,1,1
91,342,0
194,280,0
396,205,0
67,116,0
2,350,0
280,8,0
198,309844,1
36,318,0
216,214,0
280,32,0
83,143,1
25,2,0
17,216,2
232,186,0
124,316,0
384,116,0
311,83,0
380,63,0
396,186,0
340,358,0
404,153,0
390,25,0
87,296,0
191,100,0
305,100,0
30,26,3
384,46,0
305,227,0
188,60,0
271,91,1
123,39,0
225,100,0
48,194,2
285,46,0
13,51,0
231,71,1
304,72,0
8,46,1
95,37,0
51,115,1
399,341,0
349,87,0
350,35,2
101,224,0
342,92,0
205,199,1
380,2089740,2
25,13,0
227,230,0
340,231,1
233,267,1
164,267,0
428,234,0
318,216,0
173,234,0
186,191,0
136,26,2
152,380,0
63,264,0
191,85,0
1,173,1
34,214,0
371,124,0
370,13,0
259,371,0
35,63,0
101,37,0
186,205,0
292,59,0
340,34,2
145,316,0
389,33,0
316,106,0
232,34,1
149,117,2
243,96,0
341,35,0
372,380,0
50,309844,0
71,192,0
61,390,0
277,350,0
271,60,0
292,143,2
102,257,0
137,77,0
1384652,311,0
399,2,0
72,163,0
267,341,0
72,42,1
304,200,1
76,184,0
9,60,1
77,83,1
230,55,1
316,242,0
50,161,1
341,206,0
380,349,0
63,389,0
51,137,2
305,198,0
85,287,0
269,234,1
32,153,0
106,85,2
389,309844,0
199,349,1
191,414,0
72,1,1
92,40,1
302,13,0
92,106,1
86,277,0
157,231,0
372,2,0
92,434,0
