u,v,GD
288,186,-3
193,667,-2
507,522,-2
832,445,-3
631,285,-4
13,219,-3
792,536,-4
755,429,-3
404,34,-2
304,613,-2
779,147,-4
580,459,-4
147,195,-4
207,856,0
95,391,-4
713,838,-2
398,713,-4
67,17,-3
116,34,-2
205,763,-3
922,361,0
34,512,-3
722,137,-3
267,235,-2
657,445,-2
170,636,-3
376,198,-3
840,274,0
521,636,-2
143,12081,0
784,872,-3
571,457,-2
917,322,0
296,17,-3
203,457,-3
398,791,-4
1384652,232,-3
722,512,-3
360,164,-3
631,257,-3
309844,116,-2
447,184,-3
445,184,-2
332,878,-3
316,536,-3
437,296,-2
852,785,-4
275,432,-2
394,76,-3
428,462,0
186,567,-2
627,233,-3
745,486,-4
327,741,-4
33,219,-3
430,9,-3
428,657,0
193,13,-3
636,578,-3
741,557,-4
76,122,-3
613,25,-3
398,361,-4
231,198,-4
528,26,-3
34,422,-2
33,878,-3
527,507,-3
543,568,-4
507,673,-3
700,614,0
825,364,-4
205,719,-3
157,238,-3
136,224,-3
538,12081,0
621,309844,0
483,312,-3
888,637,-3
534,706,-2
39,876,-4
205,402,-3
729,627,-4
514,729,-2
673,13,-3
25,611,-3
198,188,-3
529,67,-4
164,538,-4
404,370,-2
543,527,-4
714,605,-3
572,376,-4
914,834,0
235,1,-3
122,39,-2
547,645,-3
392,588,-3
556,95,-3
76,529,-4
274,719,-4
563,580,-3
371,232,0
67,326,-4
634,257,-3
447,302,-3
194,27687,-2
527,730,-3
133,12081,0
219,372,-3
795,264,-4
567,55,-2
318,825,-4
238,121,-4
364,27687,-3
722,93,-3
446,200,-2
170,444,-4
188,673,-3
170,309844,-3
737,615,-4
729,27687,-3
349,447,-3
613,40,-2
267,369,-3
232,44,-3
722,493,-3
446,1384652,-3
781,63,-4
9,572,-3
667,763,-3
162,147,-3
518,813,-2
234,170,-3
1,317,0
706,357,-2
42,503,-3
147,878,-1
404,547,-2
573,85,-4
233,727,-3
718,571,-3
588,225,-3
116,419,-2
872,741,-3
35,8,-4
796,621,0
373,519,-3
311,1384652,-3
267,77,-3
751,745,-4
75,727,-3
729,377,-3
872,916,-4
447,106,-3
2521991,202,-4
667,288,-3
729,831,-3
567,391,-3
627,303,0
727,267,-3
317,123,-4
568,751,-3
897,726,-2
71,157,-3
614,332,-3
266,44,-3
275,75,-3
891,203,-3
77,292,-4
279,123,-4
598,840,0
563,46,-3
636,46,-4
394,700,0
914,863,0
322,748,-4
95,716,0
922,22,0
377,863,-4
304,170,-3
202,404,-1
445,332,-2
279,439,-3
422,580,-3
621,765,0
525,529,-3
274,745,-4
60,719,-4
457,917,0
657,588,-3
489,578,-4
483,259,-4
609,432,-3
313,503,0
200,117,-2
205,842,-4
563,25,-4
391,383,-3
876,193,-4
224,831,-3
312,372,-2
796,99,-3
25,111,-3
233,92,-2
111,63,-4
136,782,-3
825,193,0
429,922,0
204,619,-2
257,627,-3
275,12081,0
316,224,-4
713,360,-4
619,304,-3
419,703,-3
200,619,-3
493,423,-2
614,645,-3
840,198,0
740,429,-3
856,878,-4
108465,287,-3
729,9,-3
111,317,-4
9,722,-4
316,95,-4
362,729,-3
878,122,-3
230,406,-2
785,758,-4
430,264,-3
631,547,-3
917,26,0
85,122,-4
204,634,-3
423,219,-3
370,840,0
522,631,-3
556,571,-2
457,613,-2
12081,722,0
264,247,-4
459,383,-3
422,189,-3
394,448,-3
200,608,-3
758,795,-3
673,810,-3
381,75,-2
727,797,-3
92,551,-2
429,361,-4
380,741,-3
479,733,-2
512,275,-3
550,205,-3
195,572,-3
479,525,-3
842,5,-3
384,145,-4
615,897,-4
615,876,-3
377,763,-2
578,751,0
1,645,-4
673,108465,-2
722,364,-3
390,49,-3
556,765,-3
2521991,106,-4
71,259,-4
745,17,-4
275,431,-3
733,76,-3
117,360,-3
614,721,-2
897,46,0
292,170,-3
619,277,-2
2521991,872,-4
737,341,-3
242,578,0
238,188,-3
55,636,-3
257,377,-3
287,797,-3
390,614,-3
518,659,-3
234,8,-2
238,891,-4
342,392,-3
834,318,-4
733,37,-2
483,457,-3
369,838,-3
341,430,-3
489,75,-2
46,77,-4
740,275,-3
422,17,-3
146270,303,0
33,58,-2
136,332,-3
1,83,-3
137,439,-3
327,479,-2
12081,184,0
46,557,-3
350,741,-4
636,810,-3
706,279,-4
230,792,-4
392,423,-1
428,372,0
25,730,-3
108465,2521991,-3
288,605,-4
842,27687,-3
309844,42,-2
659,234,-1
9,231,-3
763,721,-3
837,573,-3
391,206,-3
232,206,-3
775,637,-4
164,605,-4
136,219,-3
697,578,-4
432,737,-3
349,266,-3
398,149,-3
299,706,-4
406,608,-2
432,797,-3
391,195,-4
837,557,-4
580,613,-3
106,111,-3
164,448,-3
302,538,-3
162,71,-2
657,302,-3
621,876,0
13,825,-3
299,507,-3
445,5,-2
729,58,-3
770,49,-3
309844,232,-3
713,136,-4
792,775,-4
390,5,-2
275,2089740,-3
398,716,0
200,377,-3
551,791,-3
507,8,-4
61,609,0
106,25,-2
726,123,-3
429,162,-3
521,303,-4
891,534,-4
423,93,-3
598,312,-4
207,58,-2
573,429,-3
275,350,-2
637,46,-2
234,813,-4
61,863,-4
697,279,-3
186,745,-4
203,259,0
370,627,-4
507,234,-2
232,184,-3
572,391,-2
108465,122,-2
363,573,-3
608,51,-2
713,518,-4
349,372,-3
380,372,-2
342,380,-3
799,727,-4
447,198,-4
572,888,-3
528,370,-3
840,729,0
889,257,-3
371,430,-4
703,636,-2
1,792,-4
383,92,-2
200,394,-3
863,917,0
863,71,-4
225,842,-4
327,123,-2
483,889,-3
419,525,-2
61,264,0
189,302,-3
357,447,-2
475,383,-2
311,571,-3
598,116,-3
37,371,-4
475,567,-2
370,391,-4
309844,700,0
838,279,-4
718,233,-3
363,316,-4
206,722,-3
838,275,-3
527,277,-2
703,202,-3
571,202,-3
627,267,-3
147,136,-2
390,527,-2
76,479,-3
369,384,-3
162,22,-2
842,745,-4
362,8,-4
26,143,-3
872,856,-4
876,637,-2
486,856,-4
2089740,437,-3
1,5,-3
572,423,-3
621,303,0
116,758,-2
46,479,-2
202,897,-3
571,85,0
247,613,-3
727,59,-3
26,797,-3
1,360,-4
234,55,-3
605,792,-4
518,136,-2
889,430,-3
83,615,-3
825,342,-4
55,288,-3
536,317,-4
588,203,-4
852,326,-4
785,26,-3
813,224,-3
259,784,-4
27687,716,0
512,13,-2
341,431,-2
837,615,-3
12081,825,0
205,556,-2
791,613,-3
571,99,-3
810,357,-2
483,49,-3
59,856,-4
578,147,-4
143,697,-3
541,390,-4
44,275,-3
341,842,-2
305,795,-2
462,203,-4
580,30,-2
758,305,-3
631,571,-3
748,193,-2
361,402,-4
326,40,-3
361,5,-4
598,26,-3
486,376,-4
145,726,-4
247,852,-4
311,205,-4
22,39,-3
13,96,0
35,680,-2
722,205,-3
91,770,-1
512,414,-3
611,225,-3
186,25,-3
149,204,-3
598,636,-3
369,364,-3
745,636,-4
259,613,-4
377,872,-3
680,792,-1
164,186,-3
377,376,-4
8,264,0
722,207,-4
350,194,-3
838,611,-4
219,398,-4
645,59,-3
489,726,-2
745,392,-4
888,49,-3
402,305,-3
377,657,-3
703,700,0
372,838,-4
748,580,-3
49,459,-1
349,46,-4
76,77,-2
551,5,-2
75,447,-3
878,396,-3
332,87,-3
423,888,-2
479,146270,-3
657,422,-2
296,782,-3
700,58,0
111,419,-2
457,525,-3
512,863,-4
525,364,-3
87,914,0
264,372,-3
99,123,-3
398,541,-3
737,700,0
758,277,-2
1,55,-4
76,889,-2
267,740,-1
373,384,-3
831,369,-4
292,12081,0
404,362,-3
571,17,-1
825,567,-4
257,782,-3
398,25,-2
233,39,-3
727,861,-3
621,745,0
525,1384652,-1
380,667,-2
349,371,0
305,619,-3
840,39,0
538,861,-4
547,238,-3
30,609,-3
264,394,-4
396,634,-3
145,578,0
741,519,-3
740,364,-3
834,383,-3
95,341,-4
224,111,-3
71,303,-4
287,8,0
406,342,-2
567,396,-2
861,551,-3
666,439,0
457,164,-3
327,59,-3
522,25,-2
277,234,-3
795,852,-3
697,170,-3
621,428,0
121,303,0
657,528,-4
740,122,-2
42,459,-4
116,204,-2
534,390,-4
83,770,-2
40,745,-3
703,33,-3
840,721,0
372,831,-3
384,296,-2
666,40,0
852,431,-3
117,718,-3
238,257,-3
364,292,-4
703,837,-3
459,785,-4
489,457,-3
459,631,0
381,341,-1
406,58,-2
437,659,-3
567,342,-2
309844,342,-2
77,106,-3
350,371,-4
360,791,-3
93,376,-4
121,627,-3
303,837,0
58,2521991,-3
680,796,-3
765,58,-3
507,341,-3
274,312,-2
614,784,-4
914,288,0
207,878,-4
279,361,0
745,917,0
312,611,-4
305,483,-3
673,35,-3
489,775,-4
143,726,-3
831,459,-4
157,667,-4
369,834,-4
721,861,-3
318,342,-3
332,361,0
608,447,-3
234,657,-3
234,317,-3
1,287,-4
266,775,0
202,224,-2
37,92,-2
91,751,-3
541,825,0
740,384,-2
12081,274,0
225,317,-4
419,878,-2
534,432,-3
369,61,-4
225,914,-4
842,302,-4
230,327,-2
369,667,-3
137,17,-2
308,751,-3
308,96,0
83,111,-3
527,267,-2
810,447,-2
200,186,-3
189,370,-3
380,571,-3
726,206,-2
799,528,-4
364,316,-4
507,146270,-3
71,308,-2
609,274,-4
765,242,0
813,203,-3
380,727,-3
503,207,-4
26,527,-2
396,627,-4
556,371,-4
521,136,-3
534,619,-3
193,232,-3
719,572,-3
785,133,0
195,277,-2
145,791,-3
27687,149,-4
578,376,0
157,431,-3
751,541,-4
636,398,-3
527,525,-2
266,863,-4
796,204,-3
614,703,-3
46,588,-3
763,17,-2
384,550,-3
406,198,-3
342,370,-1
390,1,-3
312,384,-3
797,279,-2
795,514,-3
563,795,-3
219,556,-3
67,274,-4
437,512,-3
459,518,-4
193,363,-4
35,13,-3
203,396,-3
149,63,0
863,598,-3
231,115,-3
363,666,0
445,667,-2
287,514,-3
611,362,-3
63,837,-4
419,503,-2
361,428,0
404,1,-3
445,781,-3
519,22,-3
326,447,-4
551,578,-4
143,423,-3
878,733,-4
200,304,-3
95,557,-4
332,123,-3
1384652,527,-1
33,588,-3
518,528,-2
63,316,-4
77,529,0
143,782,-3
67,636,-3
611,657,-3
852,588,-4
219,264,-3
266,186,-3
350,525,-3
785,556,-3
714,308,-2
706,157,-4
309844,872,-4
373,751,-4
234,380,-2
200,872,-3
888,157,-4
61,267,-4
322,274,-3
782,146270,-4
479,541,-2
666,392,0
493,751,-2
274,121,-3
193,184,-3
737,93,-4
122,503,-3
44,396,-2
713,770,-3
370,363,-4
631,8,0
439,42,-3
428,396,0
659,657,-3
308,390,-3
238,67,-4
361,85,0
770,518,-3
234,332,-2
9,111,-4
779,75,-3
349,40,-4
419,37,-2
917,145,0
55,775,-4
645,636,-3
341,713,-4
39,242,0
832,322,-3
39,726,-2
136,613,-2
202,755,-3
448,922,0
721,292,-3
341,234,-3
390,145,-4
1,72,-4
361,722,-4
799,349,0
322,737,-2
448,13,-3
26,667,-2
117,219,-4
503,755,-3
398,614,-3
233,916,-4
613,390,-3
122,404,-2
349,428,0
93,369,-4
163,556,-3
136,204,-3
231,657,-2
716,889,0
431,326,-4
170,2521991,0
5,369,-2
719,99,-4
748,876,-4
267,432,-2
547,422,-2
317,360,-4
170,259,-4
311,861,-3
637,162,-2
242,231,0
479,838,-4
439,311,-3
92,419,-2
92,557,-3
8,63,-4
813,430,-3
26,700,0
611,143,-3
534,108465,-2
796,447,-3
699,30,-2
444,58,-3
371,37,-4
203,791,-4
259,475,0
667,810,-2
194,431,-3
392,475,-2
613,380,-3
697,61,-4
91,242,0
514,631,-2
758,614,-2
189,842,-4
93,311,-3
392,316,-3
111,362,-3
637,613,-3
799,422,-3
277,83,-3
447,673,-4
856,205,-4
856,122,-4
402,371,-4
621,108465,0
341,445,-2
184,371,0
627,207,-4
534,627,-4
541,713,-4
795,279,-4
572,713,-4
326,27687,-2
342,422,-2
318,279,-4
83,71,-3
87,699,-3
551,503,-3
317,444,-4
445,637,-2
795,136,-3
784,316,-4
59,71,-2
422,527,-2
318,831,-3
825,71,-4
372,342,-2
37,796,-3
541,381,-3
437,578,-4
381,718,-2
26,92,-2
446,550,-4
770,309844,-2
863,703,-3
30,170,-3
235,729,-1
83,634,-2
332,550,-3
578,428,0
634,799,-4
842,521,-4
486,842,-2
92,184,-3
60,305,-4
1,370,-4
448,457,-3
149,133,-4
608,219,-3
722,231,-4
541,697,-3
274,157,-4
719,37,-4
2089740,446,-4
718,299,-3
91,856,-2
571,404,-2
292,40,-4
279,657,-3
740,765,-3
627,373,-4
550,44,-3
580,357,-1
384,430,-3
745,557,-3
92,37,-2
791,404,-2
384,232,-3
305,360,-3
121,93,-3
718,541,-3
791,431,-3
781,37,-3
551,99,-3
863,392,-4
299,888,-4
363,203,-4
609,362,-3
680,514,-2
770,432,-3
279,721,-3
519,194,-3
341,157,-4
609,363,-4
122,60,-2
563,914,0
706,145,-4
748,313,0
406,916,-3
122,231,-3
567,123,-3
318,9,-4
292,303,-4
832,72,-3
404,292,-2
543,722,-4
93,46,-3
106,422,-2
550,55,-2
77,528,-4
164,92,-3
242,391,0
75,350,-3
837,439,-3
322,1,-4
203,121,-3
342,414,-3
657,615,-2
512,489,-2
557,529,-4
34,22,-2
390,149,-4
312,75,-3
318,85,0
369,71,-3
275,219,-4
205,233,-3
700,266,0
406,614,-3
233,332,-2
162,439,-2
30,462,-2
1,831,-4
667,235,-4
288,232,-3
111,71,-3
13,486,-2
225,825,0
44,296,-3
479,193,-4
279,145,-4
75,522,-2
30,580,-2
277,303,0
266,445,-3
133,459,-4
233,106,-1
267,525,-2
580,917,0
225,63,-4
394,8,0
231,287,0
60,550,-3
309844,71,-3
714,147,-3
296,538,-4
184,76,-3
13,551,-2
519,550,-3
136,730,-3
361,384,-4
791,796,-3
123,779,-4
615,137,-3
745,842,-4
37,111,-3
322,518,-2
613,26,-2
233,1384652,-2
311,373,-4
34,784,-2
225,673,-3
897,390,-4
233,350,-2
162,775,-4
383,308,-1
479,37,-3
797,578,-3
296,840,0
528,198,-3
327,462,-3
219,770,-4
274,380,-2
8,550,0
613,706,-3
2089740,398,-4
578,72,-4
188,115,-2
224,157,-4
825,758,-4
115,784,-4
46,369,-4
30,63,-4
1384652,285,-2
115,779,-3
55,406,-3
99,842,-3
697,39,-3
431,195,-3
266,205,-3
659,285,-3
813,95,-4
136,414,-2
861,341,-3
512,792,-4
782,547,-3
25,398,-2
257,34,-2
834,30,-4
75,136,-1
203,713,0
259,147,-4
170,716,0
528,380,-3
547,206,-3
419,748,-3
308,726,-2
308,439,-2
392,371,-4
75,429,-1
242,431,0
309844,852,-3
296,145,-4
547,741,-4
636,188,-3
203,547,-4
810,437,-2
93,111,-4
779,364,-3
697,49,-3
384,108465,-2
2521991,206,-4
716,302,0
370,697,-3
202,200,-3
700,645,0
522,63,-4
391,914,-4
308,238,-4
522,322,-3
1,916,-4
370,27687,-3
12081,457,0
770,350,-3
317,304,-4
312,309844,-3
888,799,-4
361,234,-3
357,598,-3
304,462,-2
67,785,-4
518,557,-3
872,404,-3
147,194,-3
888,372,-3
308,313,0
889,462,-4
370,551,-3
296,680,-2
296,115,-3
916,264,-3
13,146270,-3
12081,609,0
361,842,-4
92,363,-4
479,1384652,-2
108465,634,-3
922,406,-4
96,146270,0
77,145,0
71,60,-2
60,398,-3
784,267,-2
303,627,0
852,404,-3
394,842,-3
765,146270,-4
889,2521991,0
288,834,-3
551,775,0
198,889,-4
745,605,-4
447,444,-4
149,572,-4
667,1384652,-2
444,342,-3
580,755,-3
313,519,0
30,12081,0
611,525,-3
44,878,-4
556,825,-4
763,147,-2
842,422,-3
832,758,-3
713,313,0
72,203,-3
765,402,-3
285,27687,-4
914,462,-2
619,608,-2
431,149,-3
729,275,-2
95,380,-4
137,91,-2
716,673,0
557,341,-2
259,781,0
376,567,-3
567,414,-3
598,288,-4
377,12081,0
390,85,-4
371,186,0
76,380,-2
267,26,-2
645,164,-3
288,522,-4
115,528,-3
423,364,-1
370,755,-3
163,799,0
35,613,-3
123,503,-4
233,35,-2
779,914,-4
837,825,-4
430,557,-4
372,195,-4
718,264,-4
133,631,-3
631,613,-4
95,598,-3
304,123,-3
740,432,-3
751,483,-3
370,619,-3
58,727,-3
383,580,-2
493,75,-2
55,431,-3
170,377,-3
810,1384652,-2
362,432,-1
27687,96,0
840,703,0
205,357,-3
567,568,-3
206,432,-3
91,55,-1
578,863,-4
204,342,-2
609,186,-3
721,67,-3
863,507,-3
398,2521991,0
714,578,-2
703,550,-3
837,718,-2
914,1384652,-4
619,645,-3
680,194,-3
796,726,-2
837,578,-4
95,475,-4
25,514,-3
431,147,-4
26,572,-2
369,785,-3
5,234,-3
342,33,-2
224,813,-3
274,770,-3
322,296,-3
35,309844,-2
784,573,-3
383,363,-2
207,1,-4
63,55,-4
462,897,-4
63,376,0
76,861,-4
372,188,-3
637,861,-3
755,637,-3
219,369,-2
637,145,-2
657,741,-4
889,242,0
235,716,0
149,275,-3
667,543,-4
445,203,-3
5,745,-3
914,922,0
308,825,-4
614,5,-3
122,700,0
92,432,-2
383,186,-1
439,111,-2
370,810,-3
861,349,-3
917,563,0
267,637,-1
446,371,-1
922,326,0
116,30,-1
572,115,-3
727,619,-3
745,121,-4
922,99,0
810,381,-2
615,370,-3
598,446,-3
311,573,-3
423,111,-3
745,730,-4
507,888,-3
372,751,-4
580,285,-4
259,266,-3
861,115,-3
706,123,-2
718,462,-3
657,878,-4
313,122,0
666,13,0
242,779,0
189,444,-4
422,525,-3
840,737,0
914,422,-4
608,891,-2
614,394,-3
188,404,-2
225,733,-2
63,30,-4
765,605,-3
550,448,-3
636,657,-3
680,598,-4
